,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAME-ID
443,Denver Nuggets,56,89,62.9,18,35,51.4,16,21,76.2,13,35,48,37,5,4,14,15,146,32,1,9
444,Phoenix Suns,48,103,46.6,13,32,40.6,13,19,68.4,9,35,44,28,10,5,13,22,122,9,0,10
445,Los Angeles Lakers,45,91,49.5,7,25,28,16,24,66.7,9,40,49,26,7,10,19,20,113,-9,1,10
446,LA Clippers,33,83,39.8,8,29,27.6,13,19,68.4,7,37,44,18,5,6,14,22,87,-15,0,0
447,Charlotte Hornets,34,87,39.1,11,26,42.3,23,29,79.3,8,41,49,20,7,9,8,16,102,15,1,0
448,Utah Jazz,47,98,48,14,34,41.2,17,18,94.4,14,40,54,31,10,4,10,19,125,40,0,1
449,Orlando Magic,31,81,38.3,8,29,27.6,15,23,65.2,11,35,46,13,10,5,16,20,85,-40,1,1
450,Boston Celtics,39,82,47.6,16,34,47.1,16,20,80,9,32,41,21,9,6,15,22,110,11,0,2
451,Atlanta Hawks,37,78,47.4,9,24,37.5,16,20,80,6,29,35,24,7,1,13,19,99,-11,1,2
452,Golden State Warriors,50,91,54.9,7,23,30.4,17,20,85,11,37,48,25,5,6,12,18,124,8,0,3
453,Philadelphia 76ers,47,97,48.5,10,29,34.5,12,16,75,11,29,40,28,8,5,11,22,116,-8,1,3
454,Houston Rockets,35,78,44.9,18,43,41.9,17,21,81,9,36,45,21,8,9,16,24,105,22,0,4
455,Memphis Grizzlies,31,86,36,7,27,25.9,14,19,73.7,15,33,48,18,6,7,12,18,83,-22,1,4
456,Milwaukee Bucks,28,74,37.8,6,25,24,17,31,54.8,8,30,38,13,8,5,12,25,79,-32,0,5
457,Dallas Mavericks,38,79,48.1,19,38,50,16,19,84.2,7,42,49,27,7,2,16,26,111,32,1,5
458,Sacramento Kings,34,89,38.2,8,17,47.1,14,18,77.8,9,27,36,14,9,4,11,24,90,-12,0,6
459,Portland Trail Blazers,38,70,54.3,10,21,47.6,16,21,76.2,5,39,44,19,6,8,17,22,102,12,1,6
460,Washington Wizards,34,81,42,11,19,57.9,12,21,57.1,8,35,43,20,5,3,14,12,91,-9,0,0
461,Toronto Raptors,40,90,44.4,10,39,25.6,10,14,71.4,11,37,48,20,8,7,7,19,100,9,1,0
462,Indiana Pacers,51,85,60,11,23,47.8,7,8,87.5,9,33,42,33,9,7,12,14,120,25,0,1
463,Miami Heat,35,83,42.2,13,37,35.1,12,14,85.7,10,25,35,21,8,2,14,11,95,-25,1,1
464,Golden State Warriors,46,90,51.1,10,24,41.7,16,23,69.6,6,51,57,29,8,14,15,27,118,7,0,2
465,Brooklyn Nets,34,95,35.8,16,48,33.3,27,39,69.2,13,39,52,24,7,2,13,21,111,-7,1,2
466,Detroit Pistons,39,83,47,8,25,32,14,20,70,11,26,37,25,10,2,19,21,100,3,0,3
467,Minnesota Timberwolves,40,78,51.3,5,22,22.7,12,18,66.7,6,32,38,23,11,4,20,20,97,-3,1,3
468,Chicago Bulls,42,101,41.6,12,36,33.3,9,14,64.3,12,35,47,20,5,1,11,21,105,-8,0,4
469,Phoenix Suns,45,89,50.6,7,27,25.9,16,22,72.7,9,39,48,32,5,4,12,16,113,8,1,4
470,Denver Nuggets,36,84,42.9,13,31,41.9,24,35,68.6,17,30,47,18,8,8,20,15,109,-18,0,5
471,Los Angeles Lakers,53,100,53,12,32,37.5,9,16,56.3,13,33,46,36,11,5,15,27,127,18,1,5
472,Minnesota Timberwolves,37,90,41.1,6,27,22.2,22,26,84.6,10,28,38,13,8,6,10,21,102,-16,0,0
473,Charlotte Hornets,42,85,49.4,11,26,42.3,23,29,79.3,11,41,52,22,5,7,17,18,118,16,1,0
474,Cleveland Cavaliers,42,80,52.5,16,33,48.5,16,17,94.1,7,35,42,28,4,2,11,14,116,28,0,1
475,Detroit Pistons,34,77,44.2,13,30,43.3,7,13,53.8,7,27,34,23,7,2,14,19,88,-28,1,1
476,Indiana Pacers,37,89,41.6,8,20,40,23,29,79.3,8,40,48,25,17,4,12,25,105,8,0,2
477,Orlando Magic,35,84,41.7,13,38,34.2,14,23,60.9,11,39,50,23,6,7,22,20,97,-8,1,2
478,Utah Jazz,30,85,35.3,9,28,32.1,17,19,89.5,7,27,34,18,16,4,14,19,86,-21,0,3
479,Philadelphia 76ers,44,85,51.8,4,15,26.7,15,22,68.2,9,46,55,20,11,7,19,18,107,21,1,3
480,LA Clippers,30,80,37.5,10,32,31.3,15,21,71.4,10,26,36,20,12,3,21,23,85,-22,0,4
481,New York Knicks,35,81,43.2,13,34,38.2,24,25,96,14,37,51,24,11,5,22,26,107,22,1,4
482,Portland Trail Blazers,33,83,39.8,6,15,40,28,32,87.5,15,45,60,11,1,9,15,23,100,8,0,5
483,Memphis Grizzlies,33,86,38.4,8,30,26.7,18,23,78.3,5,30,35,23,6,9,8,26,92,-8,1,5
484,Washington Wizards,39,74,52.7,9,24,37.5,12,17,70.6,8,38,46,23,4,1,16,18,99,11,0,6
485,Milwaukee Bucks,35,79,44.3,4,22,18.2,14,19,73.7,6,27,33,17,10,7,9,19,88,-11,1,6
486,Oklahoma City Thunder,38,89,42.7,11,35,31.4,20,26,76.9,9,31,40,22,14,2,14,25,107,-7,0,7
487,New Orleans Pelicans,41,80,51.2,7,25,28,25,32,78.1,7,42,49,26,8,3,19,22,114,7,1,7
488,Boston Celtics,38,84,45.2,13,36,36.1,21,26,80.8,5,48,53,24,8,4,17,24,110,8,0,8
489,Dallas Mavericks,39,96,40.6,7,33,21.2,17,20,85,8,37,45,18,7,3,11,22,102,-8,1,8
490,Atlanta Hawks,37,85,43.5,8,30,26.7,3,8,37.5,9,29,38,21,7,7,15,15,85,-11,0,9
491,San Antonio Spurs,40,89,44.9,10,31,32.3,6,6,100,14,38,52,29,7,5,18,17,96,11,1,9
492,Denver Nuggets,42,86,48.8,15,32,46.9,15,20,75,14,35,49,18,6,3,13,13,114,16,0,10
493,Sacramento Kings,41,86,47.7,8,20,40,8,9,88.9,5,29,34,18,11,6,12,19,98,-16,1,10
494,Chicago Bulls,36,94,38.3,11,36,30.6,11,16,68.8,15,39,54,22,4,4,14,19,94,-9,0,0
495,Los Angeles Lakers,36,90,40,13,40,32.5,18,25,72,12,41,53,23,7,6,12,16,103,9,1,0
496,Washington Wizards,48,99,48.5,11,33,33.3,17,22,77.3,9,34,43,25,4,6,12,29,124,-5,0,0
497,Charlotte Hornets,43,91,47.3,10,28,35.7,33,40,82.5,14,34,48,23,5,5,11,20,129,5,1,0
498,Brooklyn Nets,42,81,51.9,14,37,37.8,11,16,68.8,8,34,42,26,5,2,19,21,109,-10,0,1
499,Cleveland Cavaliers,43,82,52.4,14,34,41.2,19,27,70.4,4,29,33,21,8,2,10,19,119,10,1,1
500,Portland Trail Blazers,30,89,33.7,7,26,26.9,14,24,58.3,11,37,48,14,8,6,17,17,81,-20,0,2
501,Philadelphia 76ers,39,90,43.3,11,32,34.4,12,17,70.6,11,46,57,23,12,8,18,21,101,20,1,2
502,LA Clippers,44,76,57.9,15,30,50,13,19,68.4,6,27,33,30,7,4,15,15,116,13,0,3
503,Atlanta Hawks,40,83,48.2,10,29,34.5,13,15,86.7,9,27,36,26,10,2,15,20,103,-13,1,3
504,Boston Celtics,35,84,41.7,9,26,34.6,19,27,70.4,7,30,37,19,11,4,11,19,98,-6,0,4
505,Miami Heat,40,81,49.4,10,28,35.7,14,16,87.5,7,41,48,20,3,4,16,22,104,6,1,4
506,Toronto Raptors,37,87,42.5,14,38,36.8,12,18,66.7,12,30,42,21,4,10,15,23,100,-8,0,5
