,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
90,LaMarcus Aldridge,Portland Trail Blazers,35:50,8,22,36.4,0,1,0.0,6,6,100,2,13,15,3,1,0,2,5,22,-8,20
91,Damian Lillard,Portland Trail Blazers,37:33,9,19,47.4,2,6,33.3,1,1,100,1,2,3,7,1,0,2,1,21,-9,20
92,Will Barton,Portland Trail Blazers,1:08,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,20
93,Kevin Durant,Oklahoma City Thunder,42:41,7,14,50.0,1,3,33.3,8,12,66.7,2,15,17,7,0,2,6,1,23,13,20
94,Serge Ibaka,Oklahoma City Thunder,26:40,3,11,27.3,0,0,0.0,1,2,50.0,1,4,5,0,0,2,1,4,7,3,20
95,Russell Westbrook,Oklahoma City Thunder,35:17,13,24,54.2,0,2,0.0,6,8,75.0,1,4,5,6,0,0,1,1,32,7,20
96,Jeremy Lamb,Oklahoma City Thunder,1:08,1,1,100,1,1,100,0,0,0.0,0,0,0,0,0,0,0,0,3,3,20
97,James Johnson,Sacramento Kings,20:45,2,5,40.0,0,0,0.0,1,2,50.0,1,5,6,2,2,0,2,3,5,-7,21
98,Andre Drummond,Detroit Pistons,18:50,2,3,66.7,0,0,0.0,1,3,33.3,2,6,8,1,0,2,0,2,5,3,22
99,Goran Dragic,Phoenix Suns,34:21,5,10,50.0,1,2,50.0,4,6,66.7,1,1,2,10,1,0,1,0,15,4,22
100,Markieff Morris,Phoenix Suns,19:14,3,12,25.0,0,0,0.0,0,0,0.0,3,1,4,0,1,0,3,2,6,-13,22
101,P.J. Tucker,Phoenix Suns,9:25,1,2,50.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,-4,22
102,Rudy Gay,Memphis Grizzlies,34:49,7,18,38.9,0,2,0.0,4,8,50.0,2,6,8,0,0,1,2,2,18,9,24
103,Mike Conley,Memphis Grizzlies,33:58,5,9,55.6,3,5,60.0,8,8,100,0,3,3,7,5,0,3,3,21,14,24
104,Wayne Ellington,Memphis Grizzlies,17:43,3,6,50.0,2,4,50.0,2,2,100,0,0,0,3,1,0,0,0,10,2,24
105,Harrison Barnes,Golden State Warriors,23:22,3,7,42.9,2,5,40.0,0,0,0.0,0,0,0,1,0,0,2,5,8,-11,24
106,Klay Thompson,Golden State Warriors,38:27,4,10,40.0,1,2,50.0,2,2,100,0,3,3,5,1,1,1,1,11,-5,24
107,Stephen Curry,Golden State Warriors,42:30,10,20,50.0,6,10,60.0,0,1,0.0,1,4,5,7,1,0,4,3,26,-7,24
108,Draymond Green,Golden State Warriors,1:39,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-2,24
109,Rajon Rondo,Boston Celtics,40:29,5,10,50.0,2,2,100,0,0,0.0,2,3,5,12,2,0,2,1,12,15,25
110,Jeff Green,Boston Celtics,16:00,5,10,50.0,1,2,50.0,0,2,0.0,0,2,2,0,1,0,1,1,11,-5,25
111,Trevor Ariza,Washington Wizards,16:40,0,4,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0,-18,25
112,Bradley Beal,Washington Wizards,21:52,0,5,0.0,0,2,0.0,2,2,100,0,1,1,1,0,0,0,0,2,-18,25
113,James Johnson,Sacramento Kings,19:54,1,5,20.0,0,1,0.0,2,2,100,1,1,2,1,1,3,2,0,4,-11,26
114,Paul George,Indiana Pacers,47:54,6,15,40.0,2,7,28.6,2,2,100,1,16,17,3,2,4,4,3,16,7,26
115,George Hill,Indiana Pacers,44:39,7,17,41.2,0,2,0.0,4,5,80.0,2,6,8,5,2,1,3,1,18,15,26
116,D.J. Augustin,Indiana Pacers,13:21,1,4,25.0,0,3,0.0,1,1,100,0,1,1,3,0,0,1,0,3,-7,26
117,Jonas Valanciunas,Toronto Raptors,12:13,1,4,25.0,0,0,0.0,0,0,0.0,1,2,3,2,0,2,1,3,2,1,27
118,DeMar DeRozan,Toronto Raptors,33:44,8,13,61.5,1,2,50.0,8,10,80.0,0,3,3,1,1,0,0,3,25,-3,27
119,Kyle Lowry,Toronto Raptors,39:42,9,19,47.4,4,10,40.0,6,7,85.7,0,8,8,8,3,1,5,5,28,-2,27
120,Ed Davis,Toronto Raptors,13:39,4,7,57.1,0,0,0.0,3,4,75.0,1,2,3,0,1,1,0,0,11,-2,27
121,Brook Lopez,Brooklyn Nets,31:35,8,17,47.1,0,0,0.0,11,15,73.3,2,3,5,0,1,1,1,2,27,3,27
122,Danilo Gallinari,Denver Nuggets,36:36,3,17,17.6,1,9,11.1,6,9,66.7,1,5,6,2,0,0,0,1,13,-19,28
123,Andre Iguodala,Denver Nuggets,39:35,9,15,60.0,2,5,40.0,2,4,50.0,1,4,5,3,1,1,5,2,22,-4,28
124,JaVale McGee,Denver Nuggets,22:42,6,9,66.7,0,0,0.0,4,5,80.0,4,5,9,0,0,1,0,4,16,10,28
125,LeBron James,Miami Heat,39:12,8,17,47.1,0,1,0.0,4,4,100,1,8,9,11,0,2,0,2,20,7,28
126,Udonis Haslem,Miami Heat,5:16,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-6,28
127,Robin Lopez,New Orleans Hornets,32:45,7,10,70.0,0,0,0.0,2,4,50.0,1,6,7,0,1,4,3,0,16,11,29
128,Austin Rivers,New Orleans Hornets,33:50,4,12,33.3,0,2,0.0,1,2,50.0,0,3,3,2,3,1,2,3,9,9,29
129,Taj Gibson,Chicago Bulls,21:12,4,7,57.1,0,0,0.0,4,4,100,3,2,5,1,0,3,0,2,12,1,29
130,Jimmy Butler,Chicago Bulls,6:05,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-1,29
131,Nicolas Batum,Portland Trail Blazers,44:43,5,11,45.5,4,6,66.7,3,4,75.0,1,8,9,4,6,2,2,1,17,14,30
132,LaMarcus Aldridge,Portland Trail Blazers,41:45,13,29,44.8,0,0,0.0,1,2,50.0,3,8,11,6,1,2,3,3,27,27,30
133,Damian Lillard,Portland Trail Blazers,42:18,8,15,53.3,3,6,50.0,1,2,50.0,1,5,6,9,0,0,3,0,20,10,30
134,Will Barton,Portland Trail Blazers,15:29,2,7,28.6,1,3,33.3,0,0,0.0,1,3,4,1,1,1,2,1,5,-6,30
135,James Harden,Houston Rockets,40:43,8,24,33.3,1,6,16.7,7,10,70.0,2,4,6,5,1,1,5,3,24,-16,30
136,Tristan Thompson,Cleveland Cavaliers,29:59,2,5,40.0,0,0,0.0,5,8,62.5,4,2,6,0,1,0,0,3,9,13,31
137,Kyrie Irving,Cleveland Cavaliers,33:22,10,18,55.6,0,2,0.0,7,8,87.5,0,4,4,7,2,0,4,5,27,13,31
138,Tobias Harris,Milwaukee Bucks,13:18,2,3,66.7,0,1,0.0,0,0,0.0,2,1,3,0,0,0,2,2,4,-21,31
139,Kemba Walker,Charlotte Bobcats,31:11,4,10,40.0,0,3,0.0,2,2,100,0,3,3,5,3,0,1,1,10,-17,32
140,Jae Crowder,Dallas Mavericks,21:36,4,5,80.0,1,2,50.0,1,1,100,0,3,3,2,1,1,1,3,10,12,32
141,Paul Millsap,Utah Jazz,31:10,5,10,50.0,2,2,100,5,6,83.3,5,5,10,0,3,3,4,4,17,1,33
142,Gordon Hayward,Utah Jazz,35:45,5,11,45.5,1,5,20.0,4,4,100,1,2,3,2,3,1,2,1,15,-10,33
143,Derrick Favors,Utah Jazz,23:10,3,5,60.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,1,4,6,-14,33
144,Enes Kanter,Utah Jazz,11:22,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,4,0,-6,33
