,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
272,Jimmy Butler,Miami Heat,16:13,2,7,28.6,0,1,0,0,0,0,3,3,6,5,1,0,1,0,4,-8,130
273,Bam Adebayo,Miami Heat,28:13:00,5,9,55.6,0,0,0,7,8,87.5,0,4,4,2,2,1,3,2,17,9,130
274,Duncan Robinson,Miami Heat,32:02:00,8,14,57.1,7,13,53.8,0,0,0,0,5,5,0,0,0,1,3,23,5,130
275,Tyler Herro,Miami Heat,32:20:00,3,10,30,2,4,50,3,3,100,0,2,2,3,1,0,3,1,11,0,130
276,Goran Dragic,Miami Heat,27:08:00,6,11,54.5,0,4,0,6,7,85.7,0,2,2,9,4,0,3,1,18,21,130
277,Andre Iguodala,Miami Heat,26:14:00,2,5,40,2,5,40,0,0,0,0,7,7,3,1,0,2,3,6,17,130
278,Precious Achiuwa,Miami Heat,19:28,5,7,71.4,0,0,0,1,2,50,1,2,3,2,0,1,1,6,11,4,130
279,Avery Bradley,Miami Heat,28:28:00,4,7,57.1,2,5,40,2,3,66.7,0,2,2,4,2,0,2,2,12,23,130
280,Maurice Harkless,Miami Heat,9:29,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,-7,130
281,KZ Okpala,Miami Heat,0:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
282,Andrew Wiggins,Golden State Warriors,24:54:00,6,18,33.3,0,4,0,0,0,0,3,3,6,0,1,0,1,3,12,-19,131
283,Eric Paschall,Golden State Warriors,24:60,3,8,37.5,0,3,0,1,1,100,1,1,2,1,1,0,1,2,7,-23,131
284,James Wiseman,Golden State Warriors,25:03:00,5,11,45.5,3,4,75,5,6,83.3,3,5,8,0,0,3,2,4,18,-16,131
285,Stephen Curry,Golden State Warriors,28:58:00,6,17,35.3,2,10,20,5,5,100,0,4,4,6,1,0,2,2,19,-24,131
286,Damion Lee,Golden State Warriors,18:54,2,4,50,2,4,50,3,3,100,0,2,2,1,0,0,1,0,9,-10,131
287,Mychal Mulder,Golden State Warriors,17:34,1,4,25,1,4,25,0,0,0,0,3,3,0,0,1,0,0,3,-15,131
288,Juan Toscano-Anderson,Golden State Warriors,12:33,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,1,0,-9,131
289,Kevon Looney,Golden State Warriors,11:01,1,3,33.3,0,1,0,0,0,0,1,2,3,0,0,0,0,1,2,-11,131
290,Jordan Poole,Golden State Warriors,19:02,4,11,36.4,1,6,16.7,2,2,100,0,1,1,0,0,0,0,1,11,-15,131
291,Brad Wanamaker,Golden State Warriors,19:02,4,7,57.1,1,2,50,2,2,100,0,1,1,2,1,0,0,3,11,-15,131
292,Kent Bazemore,Golden State Warriors,3:56,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-4,131
293,Khris Middleton,Milwaukee Bucks,25:48:00,10,15,66.7,6,8,75,5,5,100,0,4,4,5,2,0,2,2,31,21,131
294,Giannis Antetokounmpo,Milwaukee Bucks,26:42:00,4,14,28.6,0,3,0,7,15,46.7,4,9,13,4,0,0,2,2,15,26,131
295,Brook Lopez,Milwaukee Bucks,19:43,3,6,50,0,1,0,2,2,100,2,2,4,0,0,1,2,1,8,14,131
296,Donte DiVincenzo,Milwaukee Bucks,19:59,5,8,62.5,3,5,60,0,0,0,1,3,4,0,2,0,2,1,13,5,131
297,Jrue Holiday,Milwaukee Bucks,25:23:00,6,8,75,0,1,0,0,0,0,1,3,4,6,0,1,3,1,12,23,131
298,Bobby Portis,Milwaukee Bucks,25:53:00,5,9,55.6,0,3,0,0,0,0,1,11,12,2,1,1,1,1,10,20,131
299,Pat Connaughton,Milwaukee Bucks,18:53,1,3,33.3,0,1,0,0,0,0,0,7,7,2,0,0,0,0,2,27,131
300,Bryn Forbes,Milwaukee Bucks,13:21,3,5,60,2,3,66.7,0,0,0,0,0,0,0,0,0,0,1,8,13,131
301,D.J. Augustin,Milwaukee Bucks,13:27,4,6,66.7,3,3,100,2,2,100,0,0,0,1,0,0,0,1,13,10,131
302,Torrey Craig,Milwaukee Bucks,9:46,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,1,2,0,6,131
303,Thanasis Antetokounmpo,Milwaukee Bucks,9:46,2,2,100,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,6,131
304,Jordan Nwora,Milwaukee Bucks,9:46,2,6,33.3,1,3,33.3,2,2,100,0,1,1,0,0,0,1,2,7,6,131
305,Sam Merrill,Milwaukee Bucks,7:37,2,3,66.7,2,2,100,0,0,0,2,1,3,4,1,0,1,0,6,6,131
306,Joe Harris,Brooklyn Nets,26:12:00,3,6,50,2,4,50,1,2,50,0,1,1,0,0,0,0,4,9,23,132
307,Kevin Durant,Brooklyn Nets,33:24:00,9,16,56.3,3,4,75,8,9,88.9,0,4,4,3,2,0,2,3,29,31,132
308,DeAndre Jordan,Brooklyn Nets,19:14,2,2,100,0,0,0,0,2,0,2,5,7,2,0,2,1,2,4,5,132
309,Spencer Dinwiddie,Brooklyn Nets,29:12:00,2,6,33.3,0,2,0,2,2,100,0,4,4,2,2,1,2,3,6,16,132
310,Kyrie Irving,Brooklyn Nets,33:24:00,13,21,61.9,7,10,70,4,4,100,1,5,6,8,1,0,1,4,37,31,132
311,Jarrett Allen,Brooklyn Nets,21:27,2,3,66.7,0,0,0,5,6,83.3,5,6,11,1,0,4,1,1,9,18,132
312,Landry Shamet,Brooklyn Nets,19:25,1,3,33.3,1,3,33.3,2,2,100,0,3,3,1,0,1,1,0,5,1,132
313,Caris LeVert,Brooklyn Nets,18:34,5,8,62.5,0,2,0,0,0,0,0,1,1,3,0,1,7,1,10,1,132
314,Taurean Prince,Brooklyn Nets,12:06,1,5,20,1,2,50,2,2,100,0,0,0,0,0,1,0,2,5,-7,132
315,Jeff Green,Brooklyn Nets,14:32,1,3,33.3,0,1,0,0,0,0,1,3,4,0,0,0,0,1,2,1,132
316,Bruce Brown,Brooklyn Nets,2:30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,132
317,Timothe Luwawu-Cabarrot,Brooklyn Nets,2:30,1,1,100,0,0,0,2,2,100,0,0,0,0,0,0,0,0,4,4,132
318,Jayson Tatum,Boston Celtics,36:07:00,9,22,40.9,2,6,33.3,0,0,0,1,7,8,2,1,1,3,1,20,-21,132
319,Tristan Thompson,Boston Celtics,21:25,3,8,37.5,0,0,0,2,2,100,5,3,8,0,0,1,1,5,8,-19,132
320,Daniel Theis,Boston Celtics,23:21,1,3,33.3,0,2,0,0,0,0,1,4,5,3,0,0,1,3,2,-14,132
321,Jaylen Brown,Boston Celtics,30:31:00,11,25,44,0,4,0,5,9,55.6,5,3,8,3,0,1,2,5,27,-25,132
322,Marcus Smart,Boston Celtics,31:53:00,4,12,33.3,3,7,42.9,2,2,100,2,1,3,6,2,1,1,5,13,-24,132
323,Grant Williams,Boston Celtics,18:33,2,4,50,0,1,0,0,0,0,2,4,6,4,0,1,0,3,4,-4,132
324,Payton Pritchard,Boston Celtics,25:07:00,3,5,60,1,2,50,0,0,0,0,2,2,1,2,0,3,3,7,-9,132
325,Semi Ojeleye,Boston Celtics,14:17,2,7,28.6,1,2,50,4,6,66.7,3,1,4,1,0,0,0,1,9,-4,132
326,Javonte Green,Boston Celtics,3:43,1,3,33.3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,-6,132
327,Aaron Nesmith,Boston Celtics,8:45,1,2,50,1,2,50,0,0,0,0,0,0,0,0,0,1,0,3,-6,132
328,Dorian Finney-Smith,Dallas Mavericks,29:22:00,4,9,44.4,2,6,33.3,0,0,0,0,2,2,0,3,0,1,4,10,-19,133
329,Dwight Powell,Dallas Mavericks,23:32,4,4,100,1,1,100,2,4,50,0,3,3,1,3,0,1,2,11,-11,133
330,Josh Richardson,Dallas Mavericks,27:23:00,6,12,50,2,5,40,3,3,100,1,1,2,2,2,0,0,4,17,-10,133
331,Luka Doncic,Dallas Mavericks,34:08:00,9,19,47.4,2,5,40,7,8,87.5,0,4,4,7,0,1,3,0,27,-14,133
332,Trey Burke,Dallas Mavericks,24:28:00,5,10,50,4,7,57.1,3,4,75,0,1,1,2,0,1,0,5,17,-13,133
333,Maxi Kleber,Dallas Mavericks,19:45,1,2,50,1,2,50,2,2,100,1,4,5,0,2,0,0,0,5,-8,133
334,Willie Cauley-Stein,Dallas Mavericks,14:05,0,3,0,0,0,0,0,0,0,0,2,2,0,2,1,1,3,0,-6,133
