,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID
1641,Memphis Grizzlies,38,84,45.2,1,8,12.5,24,35,68.6,11,31,42,21,8,11,8,17,101,5,1,820
1642,Phoenix Suns,36,72,50.0,6,16,37.5,19,24,79.2,8,28,36,19,7,3,15,17,97,-12,0,821
1643,New Orleans Hornets,45,81,55.6,8,15,53.3,11,18,61.1,7,30,37,31,10,5,12,18,109,12,1,821
1644,Denver Nuggets,31,77,40.3,5,18,27.8,22,30,73.3,17,23,40,15,6,3,18,19,89,-15,0,822
1645,Oklahoma City Thunder,38,82,46.3,7,19,36.8,21,29,72.4,19,27,46,23,11,4,12,24,104,15,1,822
1646,Los Angeles Clippers,38,76,50.0,6,18,33.3,14,20,70.0,9,27,36,22,12,6,21,23,96,-11,0,823
1647,Dallas Mavericks,43,85,50.6,4,15,26.7,17,28,60.7,15,27,42,25,13,4,17,19,107,11,1,823
1648,Los Angeles Lakers,34,86,39.5,11,25,44.0,7,14,50.0,21,31,52,14,6,4,17,21,86,-7,0,824
1649,Portland Trail Blazers,35,77,45.5,6,21,28.6,17,20,85.0,7,34,41,28,8,5,9,18,93,7,1,824
1650,Atlanta Hawks,33,76,43.4,5,9,55.6,12,14,85.7,7,26,33,20,5,7,20,20,83,-32,0,825
1651,Washington Wizards,46,86,53.5,2,5,40.0,21,29,72.4,15,33,48,20,11,7,10,16,115,32,1,825
1652,Los Angeles Clippers,33,95,34.7,7,18,38.9,5,10,50.0,17,28,45,18,9,5,9,16,78,-21,0,826
1653,Houston Rockets,38,81,46.9,10,24,41.7,13,18,72.2,16,42,58,29,5,11,14,17,99,21,1,826
1654,Cleveland Cavaliers,37,77,48.1,7,17,41.2,20,24,83.3,8,30,38,19,6,6,13,18,101,-7,0,827
1655,Milwaukee Bucks,41,81,50.6,10,23,43.5,16,20,80.0,6,29,35,31,4,6,10,18,108,7,1,827
1656,Utah Jazz,43,80,53.7,4,12,33.3,12,18,66.7,10,23,33,27,7,3,13,23,102,-9,0,828
1657,San Antonio Spurs,41,71,57.7,8,20,40.0,21,31,67.7,9,24,33,29,3,5,11,21,111,9,1,828
1658,Minnesota Timberwolves,39,85,45.9,11,32,34.4,17,20,85.0,7,31,38,22,5,6,15,24,106,-24,0,829
1659,Denver Nuggets,46,88,52.3,19,38,50.0,19,34,55.9,12,37,49,35,8,1,13,19,130,24,1,829
1660,Chicago Bulls,36,60,60.0,7,13,53.8,23,26,88.5,5,32,37,25,8,4,21,17,102,3,0,830
1661,Orlando Magic,35,81,43.2,12,24,50.0,17,21,81.0,16,17,33,22,11,4,13,19,99,-3,1,830
1662,Boston Celtics,29,64,45.3,6,13,46.2,13,16,81.3,3,23,26,16,9,2,14,18,77,-23,0,831
