,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAME-ID
524,Trail Blazers,34,74,45.9,7,17,41.2,20,23,87.0,7,21,28,19,7,5,11,26,95,-4,0,262
525,Celtics,36,63,57.1,6,14,42.9,21,26,80.8,3,27,30,23,4,3,17,20,99,4,1,262
526,Pistons,28,76,36.8,5,19,26.3,11,19,57.9,13,26,39,11,5,3,16,16,72,-25,0,263
527,Heat,39,76,51.3,6,12,50.0,13,21,61.9,10,35,45,23,10,4,10,18,97,25,1,263
528,Magic,37,76,48.7,10,21,47.6,23,24,95.8,14,30,44,15,5,6,19,19,107,29,0,264
529,Bulls,30,71,42.3,4,11,36.4,14,21,66.7,7,14,21,21,8,10,15,22,78,-29,1,264
530,Hornets,29,71,40.8,3,11,27.3,12,19,63.2,7,31,38,15,5,2,13,18,73,-16,0,265
531,Pelicans,36,77,46.8,6,18,33.3,11,17,64.7,10,32,42,25,7,8,11,15,89,16,1,265
532,Timberwolves,32,82,39.0,4,14,28.6,18,23,78.3,11,35,46,14,9,5,17,18,86,-14,0,266
533,Mavericks,36,87,41.4,10,24,41.7,18,23,78.3,11,39,50,21,12,1,14,20,100,14,1,266
534,Lakers,37,82,45.1,5,16,31.3,20,23,87.0,12,28,40,20,8,5,11,19,99,-10,0,267
535,Rockets,40,79,50.6,10,22,45.5,19,21,90.5,8,29,37,27,5,5,13,20,109,10,1,267
536,Bucks,32,80,40.0,7,22,31.8,23,32,71.9,8,29,37,22,8,11,13,28,94,-11,0,268
537,Nuggets,34,75,45.3,6,21,28.6,31,41,75.6,7,38,45,19,5,6,16,23,105,11,1,268
538,Pacers,30,66,45.5,9,24,37.5,19,25,76.0,7,25,32,19,1,9,18,14,88,-22,0,269
539,Jazz,45,98,45.9,8,25,32.0,12,15,80.0,19,27,46,29,11,6,7,21,110,22,1,269
540,Heat,47,83,56.6,10,24,41.7,14,21,66.7,9,34,43,30,7,5,9,28,118,28,0,271
541,Cavaliers,27,76,35.5,7,19,36.8,29,37,78.4,9,26,35,21,6,0,13,19,90,-28,1,271
542,Suns,40,73,54.8,6,18,33.3,21,22,95.5,4,33,37,25,4,3,16,16,107,6,0,272
543,Warriors,41,82,50.0,9,18,50.0,10,17,58.8,7,24,31,27,11,3,15,21,101,-6,1,272
544,Nets,29,91,31.9,5,25,20.0,21,25,84.0,11,37,48,17,10,4,14,27,84,-7,0,273
545,Hornets,31,86,36.0,7,15,46.7,22,32,68.8,17,45,62,21,3,11,22,24,91,7,1,273
546,Thunder,38,87,43.7,7,18,38.9,16,19,84.2,9,25,34,22,11,7,11,24,99,-12,0,274
547,Raptors,45,82,54.9,3,15,20.0,18,24,75.0,9,33,42,29,7,1,15,18,111,12,1,274
548,Trail Blazers,31,93,33.3,6,21,28.6,11,12,91.7,23,28,51,19,9,2,14,19,79,-4,0,275
549,Wizards,30,72,41.7,2,12,16.7,21,26,80.8,12,31,43,15,7,9,17,18,83,4,1,275
550,76ers,36,83,43.4,3,12,25.0,13,19,68.4,9,39,48,26,6,2,11,22,88,-5,0,276
551,Hawks,33,79,41.8,4,12,33.3,23,28,82.1,8,36,44,25,9,3,9,15,93,5,1,276
552,Magic,43,72,59.7,7,22,31.8,11,15,73.3,7,28,35,24,5,4,12,17,104,13,0,277
553,Pistons,34,70,48.6,9,18,50.0,14,19,73.7,3,19,22,24,7,2,12,18,91,-13,1,277
554,Bulls,31,74,41.9,5,13,38.5,25,34,73.5,9,25,34,18,4,2,12,17,92,-12,0,278
555,Celtics,43,81,53.1,1,9,11.1,17,22,77.3,8,36,44,29,7,4,9,23,104,12,1,278
