,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID,Date
482,New Jersey Nets,37,77,48.1,7,19,36.8,14,21,66.7,9,23,32,23,3,1,11,18,95,-15,0,243,2012-01-23
483,Chicago Bulls,43,75,57.3,7,19,36.8,17,23,73.9,12,31,43,33,3,4,10,18,110,15,1,243,2012-01-23
484,Atlanta Hawks,38,83,45.8,3,11,27.3,18,21,85.7,7,38,45,19,8,3,12,18,97,5,0,244,2012-01-23
485,Milwaukee Bucks,37,92,40.2,5,17,29.4,13,17,76.5,13,35,48,25,6,6,13,17,92,-5,1,244,2012-01-23
486,San Antonio Spurs,41,75,54.7,7,16,43.8,15,20,75.0,4,23,27,28,8,1,10,10,104,2,0,245,2012-01-23
487,New Orleans Hornets,42,83,50.6,6,12,50.0,12,13,92.3,11,29,40,20,8,7,14,14,102,-2,1,245,2012-01-23
488,Detroit Pistons,28,82,34.1,4,14,28.6,19,27,70.4,11,27,38,14,10,1,9,11,79,-20,0,246,2012-01-23
489,Oklahoma City Thunder,41,77,53.2,7,16,43.8,10,14,71.4,9,42,51,21,4,10,19,22,99,20,1,246,2012-01-23
490,Houston Rockets,39,86,45.3,7,21,33.3,22,28,78.6,9,33,42,20,11,3,12,23,107,15,0,247,2012-01-23
491,Minnesota Timberwolves,33,80,41.2,5,12,41.7,21,27,77.8,7,33,40,22,9,1,20,20,92,-15,1,247,2012-01-23
492,Phoenix Suns,31,83,37.3,6,20,30.0,19,22,86.4,17,35,52,22,9,4,19,19,87,-6,0,248,2012-01-23
493,Dallas Mavericks,33,81,40.7,8,25,32.0,19,29,65.5,12,30,42,23,11,5,12,17,93,6,1,248,2012-01-23
494,Sacramento Kings,32,80,40.0,7,18,38.9,18,25,72.0,11,25,36,23,8,3,13,22,89,-12,0,249,2012-01-23
495,Portland Trail Blazers,41,88,46.6,7,19,36.8,12,21,57.1,19,34,53,22,6,2,17,22,101,12,1,249,2012-01-23
496,Memphis Grizzlies,36,85,42.4,2,13,15.4,17,23,73.9,15,26,41,18,14,4,18,13,91,1,0,250,2012-01-23
497,Golden State Warriors,38,76,50.0,9,25,36.0,5,8,62.5,8,31,39,24,11,6,24,22,90,-1,1,250,2012-01-23
498,New York Knicks,39,78,50.0,7,19,36.8,26,33,78.8,13,40,53,26,6,8,13,21,111,33,0,251,2012-01-24
499,Charlotte Bobcats,27,82,32.9,3,11,27.3,21,22,95.5,9,24,33,10,5,8,13,22,78,-33,1,251,2012-01-24
500,Orlando Magic,38,83,45.8,13,32,40.6,13,19,68.4,13,27,40,22,13,9,13,19,102,19,0,252,2012-01-24
501,Indiana Pacers,31,78,39.7,3,11,27.3,18,18,100,12,30,42,8,3,7,19,17,83,-19,1,252,2012-01-24
502,Cleveland Cavaliers,34,68,50.0,6,16,37.5,11,17,64.7,7,26,33,20,10,4,20,27,85,-7,0,253,2012-01-24
503,Miami Heat,32,70,45.7,5,18,27.8,23,26,88.5,6,23,29,16,10,5,17,15,92,7,1,253,2012-01-24
504,Toronto Raptors,34,82,41.5,8,15,53.3,23,25,92.0,11,35,46,18,10,2,16,22,99,3,0,254,2012-01-24
505,Phoenix Suns,39,82,47.6,5,16,31.3,13,17,76.5,8,32,40,23,7,4,15,20,96,-3,1,254,2012-01-24
506,Memphis Grizzlies,34,90,37.8,3,14,21.4,13,17,76.5,11,28,39,21,10,3,11,24,84,-13,0,255,2012-01-24
507,Portland Trail Blazers,31,72,43.1,5,22,22.7,30,36,83.3,11,39,50,16,8,6,20,18,97,13,1,255,2012-01-24
508,New Jersey Nets,37,82,45.1,12,27,44.4,11,14,78.6,12,33,45,21,5,3,17,15,97,7,0,256,2012-01-25
509,Philadelphia 76ers,35,79,44.3,5,14,35.7,15,19,78.9,7,30,37,21,10,2,13,20,90,-7,1,256,2012-01-25
510,Charlotte Bobcats,28,78,35.9,1,9,11.1,18,25,72.0,13,25,38,13,12,13,19,12,75,-17,0,257,2012-01-25
511,Washington Wizards,39,83,47.0,3,10,30.0,11,16,68.8,15,36,51,23,10,13,22,28,92,17,1,257,2012-01-25
512,New York Knicks,32,76,42.1,3,20,15.0,14,20,70.0,11,33,44,18,8,3,22,23,81,-10,0,258,2012-01-25
513,Cleveland Cavaliers,34,78,43.6,9,20,45.0,14,26,53.8,14,30,44,28,10,2,18,21,91,10,1,258,2012-01-25
514,Miami Heat,37,71,52.1,5,15,33.3,22,25,88.0,6,20,26,24,7,1,11,20,101,3,0,259,2012-01-25
515,Detroit Pistons,36,72,50.0,7,22,31.8,19,25,76.0,14,29,43,19,5,6,17,24,98,-3,1,259,2012-01-25
516,Indiana Pacers,38,80,47.5,5,10,50.0,14,21,66.7,11,33,44,18,8,7,13,20,95,5,0,260,2012-01-25
517,Chicago Bulls,36,90,40.0,3,13,23.1,15,21,71.4,15,26,41,19,6,8,12,20,90,-5,1,260,2012-01-25
518,Milwaukee Bucks,39,91,42.9,14,29,48.3,13,17,76.5,10,33,43,26,8,8,10,17,105,6,0,261,2012-01-25
519,Houston Rockets,38,93,40.9,8,31,25.8,15,20,75.0,16,36,52,22,5,6,12,15,99,-6,1,261,2012-01-25
520,New Orleans Hornets,35,75,46.7,1,7,14.3,20,21,95.2,8,24,32,16,11,8,17,24,91,-10,0,262,2012-01-25
521,Oklahoma City Thunder,34,64,53.1,5,13,38.5,28,33,84.8,5,26,31,21,10,8,21,17,101,10,1,262,2012-01-25
522,Minnesota Timberwolves,34,77,44.2,9,21,42.9,28,33,84.8,11,38,49,20,10,12,15,12,105,15,0,263,2012-01-25
523,Dallas Mavericks,39,95,41.1,6,22,27.3,6,10,60.0,16,30,46,22,7,7,13,24,90,-15,1,263,2012-01-25
524,Atlanta Hawks,35,80,43.8,6,17,35.3,7,10,70.0,6,28,34,17,8,8,16,17,83,-22,0,264,2012-01-25
525,San Antonio Spurs,42,82,51.2,11,23,47.8,10,15,66.7,9,35,44,29,10,3,17,16,105,22,1,264,2012-01-25
526,Toronto Raptors,43,96,44.8,10,28,35.7,15,19,78.9,9,33,42,23,6,10,16,30,111,5,0,265,2012-01-25
527,Utah Jazz,39,90,43.3,4,18,22.2,24,36,66.7,9,39,48,16,9,5,18,21,106,-5,1,265,2012-01-25
528,Denver Nuggets,50,91,54.9,2,13,15.4,20,25,80.0,17,31,48,29,10,8,13,18,122,29,0,266,2012-01-25
529,Sacramento Kings,34,78,43.6,9,20,45.0,16,22,72.7,12,23,35,19,7,4,16,24,93,-29,1,266,2012-01-25
530,Los Angeles Clippers,37,87,42.5,8,23,34.8,9,14,64.3,17,25,42,20,8,4,12,25,91,-5,0,267,2012-01-25
531,Los Angeles Lakers,32,66,48.5,8,16,50.0,24,32,75.0,10,26,36,20,4,8,16,15,96,5,1,267,2012-01-25
532,Portland Trail Blazers,34,83,41.0,8,21,38.1,17,20,85.0,12,31,43,25,5,4,12,15,93,-8,0,268,2012-01-25
533,Golden State Warriors,41,79,51.9,11,20,55.0,8,14,57.1,5,25,30,33,10,3,11,18,101,8,1,268,2012-01-25
534,Boston Celtics,34,73,46.6,10,21,47.6,13,19,68.4,9,28,37,23,6,11,16,27,91,8,0,269,2012-01-26
535,Orlando Magic,30,79,38.0,5,17,29.4,18,31,58.1,16,30,46,16,10,3,12,23,83,-8,1,269,2012-01-26
536,Memphis Grizzlies,30,84,35.7,6,18,33.3,25,31,80.6,14,28,42,18,9,4,17,25,91,-7,0,270,2012-01-26
537,Los Angeles Clippers,35,72,48.6,9,22,40.9,19,27,70.4,7,30,37,24,10,5,16,22,98,7,1,270,2012-01-26
538,Charlotte Bobcats,27,70,38.6,4,15,26.7,14,21,66.7,8,27,35,14,4,5,14,14,72,-17,0,271,2012-01-27
539,Philadelphia 76ers,35,78,44.9,6,15,40.0,13,16,81.3,13,34,47,19,9,2,14,19,89,17,1,271,2012-01-27
540,Indiana Pacers,28,80,35.0,1,19,5.3,30,31,96.8,10,32,42,11,9,3,15,16,87,-7,0,272,2012-01-27
541,Boston Celtics,38,83,45.8,6,14,42.9,12,14,85.7,9,36,45,21,6,7,16,21,94,7,1,272,2012-01-27
542,Atlanta Hawks,40,82,48.8,10,16,62.5,17,25,68.0,9,40,49,29,5,5,16,18,107,6,0,273,2012-01-27
543,Detroit Pistons,38,93,40.9,7,16,43.8,18,22,81.8,12,32,44,24,7,4,10,22,101,-6,1,273,2012-01-27
544,New Jersey Nets,36,79,45.6,11,28,39.3,16,21,76.2,11,24,35,27,7,7,14,22,99,3,0,274,2012-01-27
545,Cleveland Cavaliers,38,81,46.9,6,19,31.6,14,24,58.3,15,30,45,18,6,3,16,20,96,-3,1,274,2012-01-27
546,New York Knicks,30,84,35.7,18,43,41.9,11,14,78.6,9,30,39,20,6,5,19,24,89,-10,0,275,2012-01-27
547,Miami Heat,37,80,46.3,2,10,20.0,23,26,88.5,6,34,40,17,9,8,10,19,99,10,1,275,2012-01-27
548,Milwaukee Bucks,39,92,42.4,7,24,29.2,15,16,93.8,14,29,43,22,4,2,15,19,100,-7,0,276,2012-01-27
549,Chicago Bulls,41,90,45.6,5,17,29.4,20,33,60.6,20,30,50,18,5,9,8,17,107,7,1,276,2012-01-27
550,Orlando Magic,24,61,39.3,6,21,28.6,13,21,61.9,4,32,36,15,5,5,22,18,67,-26,0,277,2012-01-27
551,New Orleans Hornets,41,81,50.6,5,14,35.7,6,16,37.5,12,31,43,20,14,3,12,18,93,26,1,277,2012-01-27
552,Washington Wizards,32,88,36.4,1,8,12.5,11,16,68.8,16,28,44,12,13,7,24,24,76,-27,0,278,2012-01-27
553,Houston Rockets,38,90,42.2,5,15,33.3,22,30,73.3,19,36,55,22,12,7,16,16,103,27,1,278,2012-01-27
554,San Antonio Spurs,31,75,41.3,7,16,43.8,10,11,90.9,2,32,34,17,5,8,12,17,79,-8,0,279,2012-01-27
555,Minnesota Timberwolves,36,82,43.9,2,9,22.2,13,18,72.2,10,36,46,18,7,1,9,10,87,8,1,279,2012-01-27
556,Utah Jazz,39,84,46.4,5,12,41.7,18,22,81.8,12,21,33,20,6,8,9,20,101,-15,0,280,2012-01-27
557,Dallas Mavericks,45,82,54.9,11,19,57.9,15,22,68.2,13,31,44,26,6,6,9,16,116,15,1,280,2012-01-27
558,Toronto Raptors,32,82,39.0,7,19,36.8,10,14,71.4,11,32,43,21,7,5,15,30,81,-15,0,281,2012-01-27
559,Denver Nuggets,32,70,45.7,8,27,29.6,24,32,75.0,8,38,46,18,8,5,13,14,96,15,1,281,2012-01-27
560,Phoenix Suns,29,78,37.2,4,13,30.8,9,18,50.0,7,34,41,18,9,4,21,18,71,-38,0,282,2012-01-27
561,Portland Trail Blazers,43,91,47.3,7,20,35.0,16,19,84.2,13,45,58,28,14,6,14,15,109,38,1,282,2012-01-27
562,Oklahoma City Thunder,42,88,47.7,4,17,23.5,32,37,86.5,19,34,53,23,8,3,22,15,120,11,0,283,2012-01-27
563,Golden State Warriors,41,87,47.1,12,28,42.9,15,19,78.9,10,24,34,30,12,7,20,29,109,-11,1,283,2012-01-27
564,Detroit Pistons,29,83,34.9,3,11,27.3,13,17,76.5,11,33,44,18,2,3,10,11,74,-21,0,284,2012-01-28
565,Philadelphia 76ers,38,78,48.7,9,15,60.0,10,15,66.7,5,37,42,27,7,6,6,18,95,21,1,284,2012-01-28
566,Washington Wizards,40,76,52.6,6,11,54.5,16,21,76.2,5,27,32,26,10,10,14,24,102,3,0,285,2012-01-28
567,Charlotte Bobcats,39,83,47.0,4,11,36.4,17,29,58.6,14,28,42,31,8,3,14,15,99,-3,1,285,2012-01-28
568,New York Knicks,34,89,38.2,5,26,19.2,11,15,73.3,15,25,40,17,10,3,16,16,84,-13,0,286,2012-01-28
569,Houston Rockets,38,77,49.4,4,12,33.3,17,22,77.3,9,38,47,19,9,5,16,20,97,13,1,286,2012-01-28
570,Los Angeles Lakers,36,82,43.9,6,19,31.6,11,17,64.7,16,28,44,23,5,5,14,16,89,-11,0,287,2012-01-28
571,Milwaukee Bucks,40,80,50.0,5,19,26.3,15,16,93.8,6,29,35,21,7,6,8,14,100,11,1,287,2012-01-28
572,Sacramento Kings,37,80,46.3,6,13,46.2,13,14,92.9,10,29,39,15,9,5,15,21,93,-3,0,288,2012-01-28
573,Utah Jazz,35,79,44.3,7,18,38.9,19,23,82.6,15,26,41,15,9,10,17,15,96,3,1,288,2012-01-28
574,Memphis Grizzlies,33,76,43.4,1,3,33.3,17,20,85.0,10,34,44,21,9,7,17,24,84,-2,0,289,2012-01-28
575,Phoenix Suns,32,88,36.4,5,18,27.8,17,24,70.8,18,28,46,16,6,3,14,19,86,2,1,289,2012-01-28
576,Chicago Bulls,35,81,43.2,3,11,27.3,20,28,71.4,12,35,47,15,11,5,15,28,93,-4,0,290,2012-01-29
577,Miami Heat,32,78,41.0,3,8,37.5,30,40,75.0,12,36,48,19,5,5,13,20,97,4,1,290,2012-01-29
578,Cleveland Cavaliers,34,79,43.0,3,13,23.1,17,20,85.0,11,26,37,12,11,4,13,17,88,1,0,291,2012-01-29
579,Boston Celtics,36,69,52.2,5,11,45.5,10,14,71.4,5,28,33,21,6,3,16,16,87,-1,1,291,2012-01-29
580,Toronto Raptors,35,68,51.5,3,14,21.4,21,29,72.4,7,31,38,18,7,4,10,19,94,21,0,292,2012-01-29
581,New Jersey Nets,27,74,36.5,7,22,31.8,12,18,66.7,10,29,39,16,2,3,15,21,73,-21,1,292,2012-01-29
582,Indiana Pacers,45,88,51.1,8,17,47.1,8,11,72.7,13,30,43,24,11,1,14,25,106,21,0,293,2012-01-29
583,Orlando Magic,31,64,48.4,10,23,43.5,13,29,44.8,5,28,33,21,7,5,19,15,85,-21,1,293,2012-01-29
584,San Antonio Spurs,39,94,41.5,12,25,48.0,10,19,52.6,14,38,52,23,7,2,10,17,100,-1,0,294,2012-01-29
585,Dallas Mavericks,44,100,44.0,4,20,20.0,9,12,75.0,16,39,55,15,7,12,8,18,101,1,1,294,2012-01-29
586,Atlanta Hawks,36,81,44.4,12,23,52.2,10,17,58.8,13,29,42,22,10,9,13,18,94,22,0,295,2012-01-29
587,New Orleans Hornets,27,73,37.0,3,10,30.0,15,19,78.9,9,27,36,20,6,5,13,19,72,-22,1,295,2012-01-29
588,Los Angeles Lakers,40,79,50.6,8,19,42.1,18,23,78.3,7,34,41,19,0,7,11,18,106,5,0,296,2012-01-29
589,Minnesota Timberwolves,40,104,38.5,5,21,23.8,16,23,69.6,24,28,52,19,5,6,4,19,101,-5,1,296,2012-01-29
590,Los Angeles Clippers,39,86,45.3,14,30,46.7,17,26,65.4,13,32,45,20,5,11,9,18,109,4,0,297,2012-01-29
591,Denver Nuggets,42,85,49.4,6,18,33.3,15,20,75.0,9,33,42,22,3,7,11,21,105,-4,1,297,2012-01-29
592,Orlando Magic,26,78,33.3,7,22,31.8,10,22,45.5,16,39,55,11,4,4,14,20,69,-5,0,298,2012-01-30
593,Philadelphia 76ers,30,80,37.5,4,15,26.7,10,19,52.6,9,38,47,22,7,4,6,17,74,5,1,298,2012-01-30
594,Chicago Bulls,34,75,45.3,6,20,30.0,24,31,77.4,12,28,40,22,7,3,19,10,98,10,0,299,2012-01-30
595,Washington Wizards,37,92,40.2,3,14,21.4,11,13,84.6,18,26,44,22,12,8,16,20,88,-10,1,299,2012-01-30
596,New Orleans Hornets,40,75,53.3,4,13,30.8,11,19,57.9,4,21,25,20,9,1,13,19,95,-14,0,300,2012-01-30
597,Miami Heat,43,78,55.1,6,15,40.0,17,21,81.0,11,28,39,23,6,3,15,17,109,14,1,300,2012-01-30
598,Detroit Pistons,32,83,38.6,1,9,11.1,17,20,85.0,17,25,42,22,9,3,16,20,82,-21,0,301,2012-01-30
599,Milwaukee Bucks,36,70,51.4,10,17,58.8,21,26,80.8,7,34,41,21,10,5,15,19,103,21,1,301,2012-01-30
600,San Antonio Spurs,32,80,40.0,10,24,41.7,9,15,60.0,14,32,46,23,9,4,17,18,83,10,0,302,2012-01-30
601,Memphis Grizzlies,27,73,37.0,3,9,33.3,16,20,80.0,8,29,37,10,9,3,17,18,73,-10,1,302,2012-01-30
602,Minnesota Timberwolves,43,74,58.1,6,17,35.3,28,31,90.3,7,33,40,18,6,3,18,21,120,12,0,303,2012-01-30
603,Houston Rockets,40,85,47.1,7,19,36.8,21,30,70.0,11,23,34,24,9,5,11,23,108,-12,1,303,2012-01-30
604,Portland Trail Blazers,37,80,46.3,5,20,25.0,10,13,76.9,5,32,37,19,6,10,13,24,89,-4,0,304,2012-01-30
605,Utah Jazz,32,84,38.1,3,12,25.0,26,38,68.4,18,33,51,15,9,7,11,17,93,4,1,304,2012-01-30
606,Dallas Mavericks,48,87,55.2,14,27,51.9,12,18,66.7,10,34,44,31,7,3,10,16,122,23,0,305,2012-01-30
607,Phoenix Suns,35,80,43.8,12,21,57.1,17,20,85.0,7,26,33,21,5,8,12,19,99,-23,1,305,2012-01-30
608,Oklahoma City Thunder,38,78,48.7,9,22,40.9,15,23,65.2,10,26,36,15,8,8,17,17,100,-12,0,306,2012-01-30
609,Los Angeles Clippers,45,80,56.3,13,25,52.0,9,15,60.0,6,27,33,28,10,6,12,17,112,12,1,306,2012-01-30
610,Atlanta Hawks,41,80,51.2,7,18,38.9,11,13,84.6,9,31,40,21,8,6,15,16,100,23,0,307,2012-01-31
611,Toronto Raptors,27,73,37.0,4,20,20.0,19,23,82.6,9,29,38,21,7,1,18,16,77,-23,1,307,2012-01-31
612,Boston Celtics,37,73,50.7,5,14,35.7,14,19,73.7,7,21,28,25,9,2,14,20,93,3,0,308,2012-01-31
613,Cleveland Cavaliers,34,75,45.3,7,17,41.2,15,21,71.4,13,26,39,27,7,3,16,18,90,-3,1,308,2012-01-31
614,New Jersey Nets,35,74,47.3,12,29,41.4,17,23,73.9,8,26,34,23,7,4,19,21,99,-7,0,309,2012-01-31
615,Indiana Pacers,38,73,52.1,4,11,36.4,26,36,72.2,12,31,43,26,11,7,19,20,106,7,1,309,2012-01-31
616,Detroit Pistons,32,71,45.1,3,9,33.3,19,25,76.0,10,25,35,13,6,1,20,22,86,-27,0,310,2012-01-31
617,New York Knicks,42,70,60.0,9,18,50.0,20,25,80.0,4,26,30,25,12,6,12,20,113,27,1,310,2012-01-31
618,Denver Nuggets,35,80,43.8,7,23,30.4,20,27,74.1,9,33,42,20,9,4,24,22,97,-3,0,311,2012-01-31
619,Memphis Grizzlies,33,86,38.4,6,12,50.0,28,35,80.0,17,31,48,18,13,9,17,21,100,3,1,311,2012-01-31
620,Charlotte Bobcats,31,89,34.8,2,9,22.2,9,13,69.2,12,22,34,18,7,2,9,14,73,-33,0,312,2012-01-31
621,Los Angeles Lakers,42,76,55.3,12,26,46.2,10,11,90.9,7,40,47,26,4,5,15,16,106,33,1,312,2012-01-31
622,Sacramento Kings,35,82,42.7,6,16,37.5,14,19,73.7,12,41,53,21,6,5,18,14,90,-3,0,313,2012-01-31
623,Golden State Warriors,37,91,40.7,8,24,33.3,11,13,84.6,9,29,38,26,8,8,8,20,93,3,1,313,2012-01-31
624,Chicago Bulls,32,74,43.2,7,17,41.2,11,16,68.8,8,29,37,22,5,5,17,15,82,-16,0,314,2012-02-01
625,Philadelphia 76ers,40,84,47.6,4,11,36.4,14,19,73.7,11,32,43,26,10,4,10,14,98,16,1,314,2012-02-01
626,Washington Wizards,42,92,45.7,12,23,52.2,7,9,77.8,15,30,45,26,8,5,16,28,103,-6,0,315,2012-02-01
627,Orlando Magic,33,73,45.2,13,30,43.3,30,39,76.9,10,27,37,18,8,1,15,10,109,6,1,315,2012-02-01
628,Toronto Raptors,25,73,34.2,6,14,42.9,8,18,44.4,10,29,39,16,4,4,15,19,64,-36,0,316,2012-02-01
629,Boston Celtics,39,75,52.0,12,24,50.0,10,12,83.3,6,40,46,30,4,6,10,20,100,36,1,316,2012-02-01
630,Detroit Pistons,40,82,48.8,5,18,27.8,11,14,78.6,11,20,31,18,3,2,9,21,96,-3,0,317,2012-02-01
631,New Jersey Nets,38,79,48.1,8,23,34.8,15,25,60.0,19,25,44,22,5,3,11,14,99,3,1,317,2012-02-01
632,Miami Heat,34,73,46.6,9,20,45.0,20,24,83.3,8,34,42,24,8,3,17,22,97,-8,0,318,2012-02-01
633,Milwaukee Bucks,39,88,44.3,10,23,43.5,17,25,68.0,13,27,40,30,9,5,12,17,105,8,1,318,2012-02-01
634,Phoenix Suns,41,78,52.6,6,15,40.0,32,39,82.1,7,28,35,22,9,6,8,16,120,17,0,319,2012-02-01
635,New Orleans Hornets,40,77,51.9,9,16,56.3,14,17,82.4,8,25,33,32,4,4,17,29,103,-17,1,319,2012-02-01
636,Oklahoma City Thunder,33,81,40.7,5,20,25.0,24,33,72.7,15,40,55,17,11,13,14,20,95,9,0,320,2012-02-01
637,Dallas Mavericks,30,84,35.7,4,19,21.1,22,25,88.0,10,34,44,16,8,10,14,18,86,-9,1,320,2012-02-01
638,Indiana Pacers,38,84,45.2,7,15,46.7,26,34,76.5,8,37,45,19,6,6,12,26,109,10,0,321,2012-02-01
639,Minnesota Timberwolves,34,91,37.4,3,17,17.6,28,37,75.7,14,37,51,16,5,4,16,25,99,-10,1,321,2012-02-01
640,Houston Rockets,36,79,45.6,9,22,40.9,10,13,76.9,12,32,44,18,8,2,20,22,91,-8,0,322,2012-02-01
641,San Antonio Spurs,35,76,46.1,7,18,38.9,22,31,71.0,8,30,38,15,10,2,11,15,99,8,1,322,2012-02-01
642,Charlotte Bobcats,26,80,32.5,1,9,11.1,15,19,78.9,12,27,39,14,6,9,20,22,68,-44,0,323,2012-02-01
643,Portland Trail Blazers,44,80,55.0,7,14,50.0,17,20,85.0,6,37,43,26,18,11,17,18,112,44,1,323,2012-02-01
644,Los Angeles Clippers,42,87,48.3,5,22,22.7,18,23,78.3,12,38,50,18,8,4,12,25,107,2,0,324,2012-02-01
645,Utah Jazz,38,81,46.9,3,11,27.3,26,36,72.2,7,28,35,21,6,3,10,21,105,-2,1,324,2012-02-01
646,Memphis Grizzlies,41,85,48.2,2,7,28.6,12,19,63.2,15,34,49,22,13,4,12,10,96,19,0,325,2012-02-02
647,Atlanta Hawks,33,75,44.0,5,15,33.3,6,9,66.7,6,30,36,23,6,5,14,17,77,-19,1,325,2012-02-02
648,Chicago Bulls,39,74,52.7,6,12,50.0,21,29,72.4,9,28,37,22,10,9,14,15,105,3,0,326,2012-02-02
649,New York Knicks,44,90,48.9,4,16,25.0,10,14,71.4,13,24,37,20,7,2,14,23,102,-3,1,326,2012-02-02
650,New Orleans Hornets,33,74,44.6,3,8,37.5,12,16,75.0,7,31,38,17,5,5,13,22,81,-12,0,327,2012-02-02
651,San Antonio Spurs,34,74,45.9,4,19,21.1,21,27,77.8,10,30,40,16,4,3,9,15,93,12,1,327,2012-02-02
652,Portland Trail Blazers,40,88,45.5,4,18,22.2,8,16,50.0,13,29,42,23,12,6,13,22,92,-3,0,328,2012-02-02
653,Sacramento Kings,34,76,44.7,5,17,29.4,22,29,75.9,10,32,42,16,7,4,15,17,95,3,1,328,2012-02-02
654,Denver Nuggets,39,73,53.4,12,21,57.1,22,25,88.0,10,31,41,28,4,5,15,16,112,21,0,329,2012-02-02
655,Los Angeles Clippers,39,85,45.9,8,27,29.6,5,12,41.7,8,20,28,24,8,7,10,21,91,-21,1,329,2012-02-02
656,Utah Jazz,36,79,45.6,3,12,25.0,26,34,76.5,15,28,43,24,6,4,14,19,101,-18,0,330,2012-02-02
657,Golden State Warriors,45,96,46.9,8,24,33.3,21,25,84.0,22,25,47,23,10,6,8,22,119,18,1,330,2012-02-02
658,Washington Wizards,33,87,37.9,5,19,26.3,18,25,72.0,11,26,37,13,5,13,9,23,89,-17,0,331,2012-02-03
659,Toronto Raptors,42,93,45.2,3,13,23.1,19,28,67.9,23,38,61,28,5,10,11,18,106,17,1,331,2012-02-03
660,Miami Heat,40,77,51.9,8,13,61.5,11,20,55.0,5,42,47,19,3,4,8,12,99,20,0,332,2012-02-03
661,Philadelphia 76ers,32,81,39.5,5,12,41.7,10,14,71.4,8,30,38,18,6,5,6,17,79,-20,1,332,2012-02-03
662,Cleveland Cavaliers,33,90,36.7,7,18,38.9,21,27,77.8,18,39,57,17,5,3,11,23,94,-8,0,333,2012-02-03
663,Orlando Magic,34,80,42.5,9,26,34.6,25,36,69.4,10,35,45,19,6,10,5,20,102,8,1,333,2012-02-03
664,Minnesota Timberwolves,36,82,43.9,7,16,43.8,29,32,90.6,16,31,47,24,9,3,16,18,108,3,0,334,2012-02-03
665,New Jersey Nets,38,86,44.2,10,21,47.6,19,24,79.2,15,26,41,29,9,7,17,27,105,-3,1,334,2012-02-03
666,New York Knicks,34,80,42.5,3,15,20.0,18,21,85.7,13,24,37,19,12,7,13,23,89,-2,0,336,2012-02-03
667,Boston Celtics,31,76,40.8,10,20,50.0,19,25,76.0,15,25,40,21,4,6,17,25,91,2,1,336,2012-02-03
668,Phoenix Suns,34,83,41.0,4,19,21.1,9,14,64.3,9,30,39,20,11,6,16,15,81,-18,0,337,2012-02-03
669,Houston Rockets,39,89,43.8,4,15,26.7,17,17,100,14,35,49,17,8,9,16,17,99,18,1,337,2012-02-03
670,Memphis Grizzlies,37,87,42.5,4,13,30.8,16,20,80.0,15,24,39,19,10,7,17,24,94,-7,0,338,2012-02-03
671,Oklahoma City Thunder,34,71,47.9,7,17,41.2,26,33,78.8,10,25,35,14,8,12,17,16,101,7,1,338,2012-02-03
672,Indiana Pacers,37,87,42.5,12,25,48.0,12,16,75.0,15,33,48,25,14,5,14,17,98,11,0,339,2012-02-03
673,Dallas Mavericks,35,83,42.2,6,16,37.5,11,13,84.6,13,29,42,20,8,10,16,14,87,-11,1,339,2012-02-03
674,Los Angeles Lakers,37,78,47.4,4,13,30.8,15,25,60.0,8,39,47,19,8,6,11,17,93,4,0,340,2012-02-03
675,Denver Nuggets,33,75,44.0,5,23,21.7,18,23,78.3,5,35,40,20,7,3,12,18,89,-4,1,340,2012-02-03
676,Los Angeles Clippers,45,83,54.2,11,23,47.8,6,17,35.3,17,36,53,32,8,6,23,21,107,26,0,341,2012-02-04
677,Washington Wizards,30,80,37.5,7,18,38.9,14,23,60.9,13,19,32,17,9,6,13,18,81,-26,1,341,2012-02-04
678,Philadelphia 76ers,44,88,50.0,4,9,44.4,6,9,66.7,9,28,37,25,9,2,7,25,98,11,0,342,2012-02-04
679,Atlanta Hawks,32,74,43.2,5,15,33.3,18,27,66.7,13,34,47,20,2,7,15,11,87,-11,1,342,2012-02-04
680,Orlando Magic,29,72,40.3,9,25,36.0,18,23,78.3,8,35,43,21,7,7,24,17,85,4,0,343,2012-02-04
681,Indiana Pacers,29,85,34.1,4,22,18.2,19,21,90.5,15,30,45,12,11,9,14,23,81,-4,1,343,2012-02-04
682,New Jersey Nets,30,72,41.7,10,26,38.5,22,26,84.6,9,30,39,18,8,5,13,26,92,-7,0,344,2012-02-04
683,New York Knicks,37,83,44.6,2,14,14.3,23,26,88.5,15,33,48,20,5,5,14,21,99,7,1,344,2012-02-04
684,New Orleans Hornets,34,72,47.2,4,12,33.3,15,18,83.3,11,27,38,19,6,4,15,19,87,-2,0,345,2012-02-04
685,Detroit Pistons,35,78,44.9,2,10,20.0,17,23,73.9,15,27,42,19,7,2,13,14,89,2,1,345,2012-02-04
686,Dallas Mavericks,32,67,47.8,6,13,46.2,18,27,66.7,4,35,39,22,6,8,21,16,88,-3,0,346,2012-02-04
687,Cleveland Cavaliers,37,93,39.8,6,23,26.1,11,15,73.3,17,29,46,27,12,3,9,18,91,3,1,346,2012-02-04
688,Houston Rockets,39,91,42.9,2,10,20.0,11,14,78.6,10,27,37,24,8,8,10,20,91,-9,0,347,2012-02-04
