,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID,Date
714,Phoenix Suns,41,79,51.9,11,24,45.8,6,7,85.7,10,35,45,24,2,8,15,16,99,9,0,361,2012-02-06
715,Atlanta Hawks,33,84,39.3,6,24,25.0,18,21,85.7,11,24,35,19,7,2,7,14,90,-9,1,361,2012-02-06
716,San Antonio Spurs,34,73,46.6,7,16,43.8,14,21,66.7,9,37,46,15,7,9,18,19,89,5,0,362,2012-02-06
717,Memphis Grizzlies,31,83,37.3,4,13,30.8,18,21,85.7,8,32,40,15,12,4,12,17,84,-5,1,362,2012-02-06
718,Sacramento Kings,37,78,47.4,8,24,33.3,18,25,72.0,11,30,41,17,5,5,9,21,100,8,0,363,2012-02-06
719,New Orleans Hornets,34,81,42.0,3,9,33.3,21,26,80.8,15,33,48,21,6,6,11,19,92,-8,1,363,2012-02-06
720,Houston Rockets,35,81,43.2,10,19,52.6,19,24,79.2,6,34,40,21,9,5,16,28,99,9,0,364,2012-02-06
721,Denver Nuggets,34,78,43.6,3,22,13.6,19,33,57.6,11,36,47,14,4,8,20,25,90,-9,1,364,2012-02-06
722,Oklahoma City Thunder,43,95,45.3,6,22,27.3,19,22,86.4,18,41,59,17,7,8,19,27,111,4,0,365,2012-02-06
723,Portland Trail Blazers,41,97,42.3,5,20,25.0,20,26,76.9,15,24,39,23,8,3,12,17,107,-4,1,365,2012-02-06
724,Utah Jazz,37,78,47.4,4,10,40.0,21,23,91.3,7,36,43,23,5,9,16,20,99,-5,0,366,2012-02-07
725,Indiana Pacers,41,87,47.1,4,14,28.6,18,22,81.8,5,32,37,18,5,6,8,20,104,5,1,366,2012-02-07
726,Charlotte Bobcats,32,71,45.1,4,16,25.0,16,20,80.0,4,28,32,19,2,1,10,11,84,-10,0,367,2012-02-07
727,Boston Celtics,41,81,50.6,4,23,17.4,8,8,100,7,30,37,31,4,3,11,15,94,10,1,367,2012-02-07
728,Cleveland Cavaliers,32,82,39.0,7,19,36.8,20,30,66.7,15,28,43,17,10,2,17,22,91,-16,0,368,2012-02-07
729,Miami Heat,39,84,46.4,6,17,35.3,23,26,88.5,13,34,47,19,7,2,16,22,107,16,1,368,2012-02-07
730,Phoenix Suns,45,94,47.9,9,25,36.0,8,8,100,16,29,45,28,6,4,12,16,107,2,0,369,2012-02-07
731,Milwaukee Bucks,39,81,48.1,9,20,45.0,18,20,90.0,10,29,39,25,5,6,13,13,105,-2,1,369,2012-02-07
732,Sacramento Kings,31,82,37.8,8,23,34.8,14,21,66.7,11,37,48,20,10,4,15,26,84,-2,0,370,2012-02-07
733,Minnesota Timberwolves,32,79,40.5,4,14,28.6,18,28,64.3,12,37,49,21,11,6,16,20,86,2,1,370,2012-02-07
734,Oklahoma City Thunder,44,84,52.4,11,26,42.3,20,21,95.2,8,25,33,24,9,3,15,25,119,3,0,371,2012-02-07
735,Golden State Warriors,44,80,55.0,9,21,42.9,19,23,82.6,7,29,36,28,9,4,15,22,116,-3,1,371,2012-02-07
736,Milwaukee Bucks,33,72,45.8,12,25,48.0,27,37,73.0,12,35,47,20,11,11,19,15,105,6,0,372,2012-02-08
737,Toronto Raptors,37,90,41.1,9,24,37.5,16,17,94.1,12,29,41,27,9,5,14,24,99,-6,1,372,2012-02-08
738,San Antonio Spurs,37,84,44.0,5,15,33.3,21,26,80.8,11,37,48,23,6,5,6,14,100,10,0,373,2012-02-08
739,Philadelphia 76ers,38,93,40.9,7,14,50.0,7,11,63.6,18,37,55,23,4,7,10,20,90,-10,1,373,2012-02-08
740,New York Knicks,37,81,45.7,7,28,25.0,26,33,78.8,11,31,42,18,8,4,8,16,107,14,0,374,2012-02-08
741,Washington Wizards,38,83,45.8,2,17,11.8,15,19,78.9,11,31,42,12,6,5,12,28,93,-14,1,374,2012-02-08
742,Miami Heat,36,76,47.4,5,15,33.3,12,17,70.6,9,29,38,20,10,6,12,17,89,-13,0,375,2012-02-08
743,Orlando Magic,35,83,42.2,17,42,40.5,15,21,71.4,17,31,48,24,8,2,14,17,102,13,1,375,2012-02-08
744,Los Angeles Clippers,32,78,41.0,3,15,20.0,25,29,86.2,15,23,38,20,8,5,13,26,92,-7,0,376,2012-02-08
745,Cleveland Cavaliers,36,71,50.7,7,18,38.9,20,26,76.9,10,26,36,24,4,8,15,23,99,7,1,376,2012-02-08
746,Detroit Pistons,39,73,53.4,2,9,22.2,19,29,65.5,12,29,41,29,10,6,12,21,99,7,0,377,2012-02-08
747,New Jersey Nets,33,78,42.3,10,27,37.0,16,20,80.0,13,23,36,19,7,6,12,19,92,-7,1,377,2012-02-08
748,Indiana Pacers,33,75,44.0,5,14,35.7,16,23,69.6,7,26,33,18,8,3,12,17,87,-10,0,378,2012-02-08
749,Atlanta Hawks,35,76,46.1,9,21,42.9,18,24,75.0,13,32,45,24,9,5,15,20,97,10,1,378,2012-02-08
750,Minnesota Timberwolves,31,79,39.2,4,19,21.1,14,19,73.7,10,37,47,16,10,5,15,15,80,-5,0,379,2012-02-08
751,Memphis Grizzlies,35,94,37.2,4,11,36.4,11,15,73.3,21,38,59,18,10,4,16,19,85,5,1,379,2012-02-08
752,Chicago Bulls,39,85,45.9,4,16,25.0,8,12,66.7,12,37,49,29,11,1,12,13,90,23,0,380,2012-02-08
753,New Orleans Hornets,28,75,37.3,1,3,33.3,10,17,58.8,10,29,39,19,3,4,18,12,67,-23,1,380,2012-02-08
754,Dallas Mavericks,44,90,48.9,9,28,32.1,8,9,88.9,11,35,46,30,9,6,12,22,105,10,0,381,2012-02-08
755,Denver Nuggets,33,72,45.8,9,26,34.6,20,27,74.1,8,30,38,25,8,6,17,17,95,-10,1,381,2012-02-08
756,Houston Rockets,41,78,52.6,10,23,43.5,11,19,57.9,9,30,39,26,10,6,22,22,103,7,0,382,2012-02-08
757,Portland Trail Blazers,35,74,47.3,7,18,38.9,19,22,86.4,6,23,29,22,11,5,19,22,96,-7,1,382,2012-02-08
758,Los Angeles Lakers,36,91,39.6,1,15,6.7,15,20,75.0,15,40,55,13,6,7,11,12,88,1,0,383,2012-02-09
759,Boston Celtics,38,97,39.2,6,19,31.6,5,5,100,12,33,45,22,7,5,9,21,87,-1,1,383,2012-02-09
760,Golden State Warriors,41,79,51.9,13,25,52.0,14,22,63.6,6,35,41,22,8,14,17,23,109,8,0,384,2012-02-09
761,Denver Nuggets,37,85,43.5,9,24,37.5,18,27,66.7,8,31,39,28,7,1,13,20,101,-8,1,384,2012-02-09
762,Houston Rockets,42,86,48.8,8,16,50.0,4,6,66.7,12,32,44,26,7,2,11,12,96,7,0,385,2012-02-09
763,Phoenix Suns,35,74,47.3,9,27,33.3,10,16,62.5,5,26,31,25,6,3,13,13,89,-7,1,385,2012-02-09
764,Oklahoma City Thunder,37,77,48.1,7,18,38.9,20,26,76.9,12,28,40,13,6,17,23,24,101,-5,0,386,2012-02-09
765,Sacramento Kings,40,99,40.4,7,20,35.0,19,26,73.1,17,29,46,21,13,4,12,19,106,5,1,386,2012-02-09
766,Boston Celtics,29,65,44.6,3,10,30.0,13,18,72.2,7,27,34,18,5,3,16,13,74,-12,0,387,2012-02-10
767,Toronto Raptors,33,75,44.0,5,19,26.3,15,20,75.0,13,29,42,26,9,4,11,18,86,12,1,387,2012-02-10
768,Los Angeles Clippers,33,85,38.8,2,19,10.5,10,15,66.7,15,31,46,14,6,1,7,23,78,1,0,388,2012-02-10
769,Philadelphia 76ers,29,71,40.8,4,15,26.7,15,23,65.2,9,31,40,19,4,2,10,15,77,-1,1,388,2012-02-10
770,Miami Heat,40,81,49.4,5,15,33.3,21,23,91.3,8,38,46,22,9,7,15,21,106,17,0,389,2012-02-10
771,Washington Wizards,34,89,38.2,4,21,19.0,17,28,60.7,15,28,43,21,6,1,16,20,89,-17,1,389,2012-02-10
