,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
440,George Hill,San Antonio Spurs,36:56,6,13,46.2,1,4,25.0,3,5,60.0,1,3,4,4,0,1,2,1,16,10,158
441,Paul George,Indiana Pacers,9:59,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-8,158
442,Derrick Rose,Chicago Bulls,35:26,8,21,38.1,1,6,16.7,10,10,100.0,1,3,4,9,3,0,4,1,27,-10,159
443,Taj Gibson,Chicago Bulls,22:06,3,5,60.0,0,1,0.0,1,2,50.0,2,3,5,1,0,2,1,5,7,-1,159
444,Jrue Holiday,Philadelphia 76ers,39:06,8,14,57.1,0,2,0.0,3,3,100.0,0,4,4,6,1,1,6,5,19,14,159
445,Thaddeus Young,Philadelphia 76ers,20:30,4,10,40.0,0,0,0.0,0,0,0.0,3,2,5,0,3,1,2,3,8,-5,159
446,Lou Williams,Philadelphia 76ers,25:51,7,14,50.0,2,4,50.0,4,6,66.7,0,1,1,3,0,0,0,1,20,-6,159
447,Derrick Favors,New Jersey Nets,25:11,3,7,42.9,0,0,0.0,6,6,100.0,5,1,6,0,0,2,1,2,12,-7,160
448,Brook Lopez,New Jersey Nets,28:47,5,12,41.7,0,0,0.0,4,6,66.7,3,1,4,0,1,3,2,2,14,-5,160
449,JaVale McGee,Washington Wizards,33:39,7,9,77.8,0,0,0.0,1,1,100.0,1,6,7,0,1,6,5,4,15,23,160
450,John Wall,Washington Wizards,33:46,2,8,25.0,0,2,0.0,1,2,50.0,0,2,2,9,0,0,0,2,5,7,160
451,DeMar DeRozan,Toronto Raptors,41:39,8,15,53.3,0,0,0.0,4,4,100.0,1,2,3,3,0,1,1,3,20,-17,161
452,Ed Davis,Toronto Raptors,23:36,4,6,66.7,0,0,0.0,0,2,0.0,1,1,2,0,1,2,0,3,8,-13,161
453,Rajon Rondo,Boston Celtics,26:01,3,7,42.9,1,2,50.0,2,2,100.0,1,3,4,7,2,0,6,0,9,23,161
454,Avery Bradley,Boston Celtics,3:28,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0,-4,161
455,Kyle Lowry,Houston Rockets,21:17,0,3,0.0,0,1,0.0,0,2,0.0,1,0,1,5,1,0,0,4,0,-15,162
456,Ish Smith,Houston Rockets,5:31,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,-2,162
457,Dwight Howard,Orlando Magic,26:55,6,12,50.0,0,0,0.0,1,1,100.0,1,10,11,1,1,2,4,5,13,16,162
458,Paul Millsap,Utah Jazz,37:34,7,17,41.2,0,2,0.0,6,8,75.0,3,5,8,0,0,2,4,5,20,-7,163
459,Gordon Hayward,Utah Jazz,20:05,3,6,50.0,1,2,50.0,0,0,0.0,0,1,1,5,1,1,1,2,7,7,163
460,Rudy Gay,Memphis Grizzlies,42:20,8,14,57.1,3,3,100.0,9,10,90.0,3,6,9,4,4,0,5,1,28,8,163
461,Mike Conley,Memphis Grizzlies,23:57,4,8,50.0,0,0,0.0,2,3,66.7,1,2,3,4,2,0,1,4,10,1,163
462,Nicolas Batum,Portland Trail Blazers,40:52,4,15,26.7,1,5,20.0,0,2,0.0,4,5,9,0,0,1,0,2,9,-4,164
463,LaMarcus Aldridge,Portland Trail Blazers,38:44,11,20,55.0,0,0,0.0,6,7,85.7,6,4,10,4,0,0,4,2,28,11,164
