,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
2989,Ed Davis,Toronto Raptors,19:02,1,3,33.3,0,0,0.0,2,2,100,1,5,6,0,3,0,0,0,4,-16,1000
2990,Andre Iguodala,Philadelphia 76ers,39:01,6,11,54.5,2,2,100,2,5,40.0,0,6,6,4,1,0,3,1,16,1,1001
2991,Jrue Holiday,Philadelphia 76ers,36:57,9,15,60.0,1,3,33.3,3,3,100,0,2,2,3,2,0,3,3,22,0,1001
2992,Thaddeus Young,Philadelphia 76ers,18:49,3,8,37.5,0,0,0.0,3,4,75.0,0,1,1,0,1,0,1,3,9,3,1001
2993,Lou Williams,Philadelphia 76ers,28:48,5,12,41.7,0,5,0.0,10,12,83.3,0,4,4,5,0,0,1,4,20,-12,1001
2994,Nikola Vucevic,Philadelphia 76ers,9:02,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,1,0,-3,1001
2995,Gordon Hayward,Utah Jazz,35:04,5,9,55.6,1,2,50.0,4,4,100,0,2,2,3,1,2,1,3,15,0,1001
2996,Paul Millsap,Utah Jazz,35:25,4,16,25.0,1,3,33.3,5,8,62.5,2,12,14,2,3,2,0,3,14,7,1001
2997,Derrick Favors,Utah Jazz,38:59,10,16,62.5,0,0,0.0,0,1,0.0,3,8,11,0,0,1,1,3,20,1,1001
2998,Enes Kanter,Utah Jazz,15:29,2,3,66.7,0,0,0.0,0,0,0.0,2,4,6,0,0,0,0,0,4,7,1001
2999,Derrick Rose,Chicago Bulls,42:04,8,14,57.1,3,4,75.0,10,11,90.9,3,5,8,16,1,0,4,3,29,16,1002
3000,Taj Gibson,Chicago Bulls,19:16,2,5,40.0,0,0,0.0,2,2,100,1,2,3,1,1,1,1,1,6,13,1002
3001,Blake Griffin,Los Angeles Clippers,41:33,14,25,56.0,0,0,0.0,6,10,60.0,6,7,13,3,1,0,2,1,34,-9,1002
3002,DeAndre Jordan,Los Angeles Clippers,25:40,5,6,83.3,0,0,0.0,2,4,50.0,1,4,5,0,0,3,2,5,12,0,1002
3003,Chris Paul,Los Angeles Clippers,44:06,7,14,50.0,1,1,100,0,1,0.0,0,4,4,14,4,0,3,2,15,-13,1002
3004,Danilo Gallinari,Denver Nuggets,36:59,3,12,25.0,0,4,0.0,1,2,50.0,0,7,7,3,2,1,1,1,7,-5,1003
3005,Paul George,Indiana Pacers,34:01,2,5,40.0,1,2,50.0,2,3,66.7,0,4,4,4,3,1,1,2,7,7,1004
3006,George Hill,Indiana Pacers,29:06,7,11,63.6,1,3,33.3,1,2,50.0,0,5,5,1,0,0,1,3,16,-4,1004
3007,Al Horford,Atlanta Hawks,31:18,6,11,54.5,0,0,0.0,3,4,75.0,1,5,6,2,0,1,2,1,15,-19,1005
3008,Kyle Lowry,Houston Rockets,42:09,0,6,0.0,0,3,0.0,2,2,100,0,6,6,18,2,1,6,3,2,15,1005
3009,Goran Dragic,Houston Rockets,13:25,1,5,20.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,-7,1005
3010,Robin Lopez,Phoenix Suns,21:02,1,4,25.0,0,0,0.0,2,2,100,3,2,5,0,0,1,0,3,4,5,1006
3011,Markieff Morris,Phoenix Suns,15:47,5,8,62.5,3,4,75.0,2,3,66.7,0,6,6,1,0,1,1,3,15,11,1006
3012,Kevin Durant,Oklahoma City Thunder,26:17,4,11,36.4,2,3,66.7,2,2,100,1,5,6,3,2,1,5,3,12,8,1006
3013,Serge Ibaka,Oklahoma City Thunder,21:17,4,4,100,0,0,0.0,0,0,0.0,2,1,3,1,0,2,1,1,8,13,1006
3014,Russell Westbrook,Oklahoma City Thunder,25:21,8,14,57.1,0,1,0.0,2,2,100,0,2,2,4,2,0,2,1,18,7,1006
3015,James Harden,Oklahoma City Thunder,25:43,1,6,16.7,0,4,0.0,8,8,100,0,7,7,8,2,0,2,3,10,3,1006
