,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID,Date,WIN
13814,Mavericks,34,83.0,41.0,8,23.0,34.8,7,10.0,70.0,5,27,32,16,9,3,9,19,83,-7.0,0,6944,2016-11-16,0
13815,Celtics,33,76.0,43.4,7,21.0,33.3,17,23.0,73.9,13,40,53,18,6,3,19,17,90,7.0,1,6944,2016-11-16,1
13816,Pistons,42,85.0,49.4,8,23.0,34.8,10,12.0,83.3,8,32,40,19,6,1,10,14,102,-3.0,0,6945,2016-11-16,0
13817,Knicks,42,93.0,45.2,9,25.0,36.0,12,19.0,63.2,19,33,52,24,8,9,9,11,105,3.0,1,6945,2016-11-16,1
13818,Bucks,39,98.0,39.8,8,32.0,25.0,14,18.0,77.8,15,32,47,25,9,2,14,25,100,-7.0,0,6946,2016-11-16,0
13819,Hawks,35,72.0,48.6,10,32.0,31.3,27,31.0,87.1,3,36,39,29,6,8,16,17,107,7.0,1,6946,2016-11-16,1
13820,Rockets,40,92.0,43.5,14,40.0,35.0,9,14.0,64.3,12,35,47,25,10,4,16,10,103,-2.0,0,6947,2016-11-16,0
13821,Thunder,40,84.0,47.6,12,25.0,48.0,13,14.0,92.9,5,39,44,25,7,7,16,15,105,2.0,1,6947,2016-11-16,1
13822,Warriors,44,87.0,50.6,13,36.0,36.1,26,28.0,92.9,7,28,35,33,9,7,12,25,127,6.0,0,6948,2016-11-16,1
13823,Raptors,37,82.0,45.1,10,25.0,40.0,37,41.0,90.2,13,33,46,16,8,1,14,22,121,-6.0,1,6948,2016-11-16,0
13824,Suns,39,79.0,49.4,8,20.0,40.0,18,29.0,62.1,7,28,35,14,8,4,16,29,104,-16.0,0,6949,2016-11-16,0
13825,Nuggets,45,93.0,48.4,8,17.0,47.1,22,24.0,91.7,14,35,49,23,8,4,14,24,120,16.0,1,6949,2016-11-16,1
13826,Grizzlies,40,82.0,48.8,15,26.0,57.7,16,19.0,84.2,9,34,43,24,6,2,15,22,111,4.0,0,6950,2016-11-16,1
13827,Clippers,37,81.0,45.7,9,25.0,36.0,24,34.0,70.6,8,27,35,15,13,7,8,19,107,-4.0,1,6950,2016-11-16,0
13828,Spurs,43,88.0,48.9,11,30.0,36.7,13,17.0,76.5,9,28,37,29,11,7,11,21,110,5.0,0,6951,2016-11-16,1
13829,Kings,36,76.0,47.4,9,20.0,45.0,24,31.0,77.4,10,36,46,21,5,3,16,17,105,-5.0,1,6951,2016-11-16,0
13830,Knicks,41,86.0,47.7,12,29.0,41.4,18,20.0,90.0,10,26,36,23,9,1,13,20,112,-7.0,0,6952,2016-11-17,0
13831,Wizards,44,81.0,54.3,15,25.0,60.0,16,18.0,88.9,7,30,37,26,7,2,15,21,119,7.0,1,6952,2016-11-17,1
13832,Bucks,28,85.0,32.9,7,23.0,30.4,10,13.0,76.9,12,36,48,20,4,8,13,20,73,-23.0,0,6953,2016-11-17,0
13833,Heat,39,97.0,40.2,7,30.0,23.3,11,21.0,52.4,17,42,59,19,5,8,7,18,96,23.0,1,6953,2016-11-17,1
13834,Trail Blazers,41,90.0,45.6,10,28.0,35.7,17,21.0,81.0,10,31,41,24,6,4,12,19,109,-17.0,0,6954,2016-11-17,0
13835,Rockets,46,95.0,48.4,14,32.0,43.8,20,25.0,80.0,17,37,54,26,6,6,13,17,126,17.0,1,6954,2016-11-17,1
13836,76ers,31,83.0,37.3,9,32.0,28.1,15,19.0,78.9,13,27,40,15,9,2,15,17,86,-24.0,0,6955,2016-11-17,0
13837,Timberwolves,43,84.0,51.2,6,25.0,24.0,18,20.0,90.0,14,34,48,18,7,8,13,19,110,24.0,1,6955,2016-11-17,1
13838,Bulls,33,90.0,36.7,5,17.0,29.4,14,16.0,87.5,14,32,46,8,7,6,8,16,85,8.0,0,6956,2016-11-17,1
13839,Jazz,30,78.0,38.5,5,25.0,20.0,12,14.0,85.7,10,38,48,11,4,3,13,14,77,-8.0,1,6956,2016-11-17,0
13840,Hawks,39,84.0,46.4,7,28.0,25.0,11,17.0,64.7,8,41,49,25,9,6,16,18,96,-4.0,0,6957,2016-11-18,0
13841,Hornets,37,90.0,41.1,10,29.0,34.5,16,24.0,66.7,8,36,44,25,11,4,11,16,100,4.0,1,6957,2016-11-18,1
13842,Suns,46,97.0,47.4,9,26.0,34.6,15,18.0,83.3,18,28,46,21,14,7,11,28,116,20.0,0,6958,2016-11-18,1
13843,Pacers,36,76.0,47.4,1,7.0,14.3,23,29.0,79.3,10,25,35,18,5,8,18,19,96,-20.0,1,6958,2016-11-18,0
13844,Pistons,29,93.0,31.2,6,19.0,31.6,17,20.0,85.0,11,33,44,23,5,4,7,15,81,-23.0,0,6959,2016-11-18,0
13845,Cavaliers,40,83.0,48.2,11,25.0,44.0,13,14.0,92.9,5,47,52,26,4,8,13,14,104,23.0,1,6959,2016-11-18,1
13846,Trail Blazers,33,88.0,37.5,12,34.0,35.3,23,26.0,88.5,13,35,48,19,2,1,14,21,101,-12.0,0,6960,2016-11-18,0
13847,Pelicans,45,82.0,54.9,9,24.0,37.5,14,20.0,70.0,1,36,37,31,9,12,8,21,113,12.0,1,6960,2016-11-18,1
13848,Nets,35,83.0,42.2,11,29.0,37.9,24,30.0,80.0,7,23,30,19,6,2,16,19,105,-19.0,0,6961,2016-11-18,0
13849,Thunder,49,89.0,55.1,7,26.0,26.9,19,24.0,79.2,10,36,46,23,9,5,16,24,124,19.0,1,6961,2016-11-18,1
13850,Warriors,44,90.0,48.9,9,28.0,32.1,7,12.0,58.3,9,41,50,33,10,7,11,20,104,16.0,0,6962,2016-11-18,1
13851,Celtics,31,83.0,37.3,11,32.0,34.4,15,19.0,78.9,7,36,43,19,6,3,13,12,88,-16.0,1,6962,2016-11-18,0
13852,Grizzlies,31,77.0,40.3,9,25.0,36.0,9,12.0,75.0,7,41,48,16,7,3,12,25,80,16.0,0,6963,2016-11-18,1
13853,Mavericks,21,73.0,28.8,5,25.0,20.0,17,22.0,77.3,10,35,45,9,3,7,17,14,64,-16.0,1,6963,2016-11-18,0
13854,Raptors,43,94.0,45.7,8,23.0,34.8,19,31.0,61.3,6,38,44,23,8,2,11,25,113,2.0,0,6964,2016-11-18,1
13855,Nuggets,39,83.0,47.0,4,25.0,16.0,29,39.0,74.4,9,50,59,29,7,4,19,26,111,-2.0,1,6964,2016-11-18,0
13856,Spurs,44,78.0,56.4,10,24.0,41.7,18,19.0,94.7,3,31,34,30,8,6,12,18,116,9.0,0,6965,2016-11-18,1
13857,Lakers,39,87.0,44.8,12,25.0,48.0,17,21.0,81.0,15,30,45,24,6,1,13,21,107,-9.0,1,6965,2016-11-18,0
13858,Clippers,40,76.0,52.6,13,29.0,44.8,28,34.0,82.4,5,32,37,27,7,6,14,24,121,6.0,0,6966,2016-11-18,1
13859,Kings,38,86.0,44.2,10,26.0,38.5,29,35.0,82.9,9,28,37,21,7,4,14,24,115,-6.0,1,6966,2016-11-18,0
13860,Jazz,39,76.0,51.3,12,27.0,44.4,12,17.0,70.6,5,38,43,22,3,5,12,17,102,-9.0,0,6967,2016-11-19,0
13861,Rockets,42,94.0,44.7,12,32.0,37.5,15,20.0,75.0,10,29,39,28,8,3,4,16,111,9.0,1,6967,2016-11-19,1
13862,Hornets,40,97.0,41.2,15,43.0,34.9,21,28.0,75.0,8,44,52,29,7,5,14,21,116,-5.0,0,6968,2016-11-19,0
13863,Pelicans,43,98.0,43.9,14,36.0,38.9,21,25.0,84.0,10,43,53,27,9,6,11,23,121,5.0,1,6968,2016-11-19,1
13864,Heat,43,85.0,50.6,13,27.0,48.1,15,26.0,57.7,17,30,47,21,6,7,16,21,114,3.0,0,6969,2016-11-19,1
13865,Wizards,42,89.0,47.2,11,27.0,40.7,16,22.0,72.7,13,27,40,22,9,2,11,22,111,-3.0,1,6969,2016-11-19,0
13866,Mavericks,26,77.0,33.8,13,28.0,46.4,22,27.0,81.5,5,29,34,13,8,5,13,16,87,-8.0,0,6970,2016-11-19,0
13867,Magic,34,78.0,43.6,8,21.0,38.1,19,22.0,86.4,10,40,50,17,6,8,19,21,95,8.0,1,6970,2016-11-19,1
13868,Celtics,33,82.0,40.2,12,31.0,38.7,16,17.0,94.1,9,37,46,22,3,7,8,13,94,2.0,0,6971,2016-11-19,1
13869,Pistons,37,86.0,43.0,7,20.0,35.0,11,16.0,68.8,11,39,50,22,5,4,5,13,92,-2.0,1,6971,2016-11-19,0
13870,Suns,39,92.0,42.4,6,21.0,28.6,21,34.0,61.8,12,32,44,18,11,7,15,19,105,-15.0,0,6972,2016-11-19,0
13871,76ers,45,86.0,52.3,17,35.0,48.6,13,20.0,65.0,6,38,44,33,11,9,18,23,120,15.0,1,6972,2016-11-19,1
13872,Timberwolves,25,64.0,39.1,7,22.0,31.8,14,22.0,63.6,5,29,34,16,5,5,16,25,71,-22.0,0,6973,2016-11-19,0
13873,Grizzlies,29,76.0,38.2,2,18.0,11.1,33,38.0,86.8,13,33,46,15,8,7,9,19,93,22.0,1,6973,2016-11-19,1
13874,Warriors,42,95.0,44.2,14,38.0,36.8,26,32.0,81.3,18,27,45,30,8,5,12,25,124,3.0,0,6974,2016-11-19,1
13875,Bucks,46,89.0,51.7,10,20.0,50.0,19,25.0,76.0,10,31,41,27,7,1,13,23,121,-3.0,1,6974,2016-11-19,0
13876,Bulls,33,77.0,42.9,9,30.0,30.0,20,24.0,83.3,15,26,41,17,7,4,12,20,95,-7.0,0,6975,2016-11-19,0
13877,Clippers,36,77.0,46.8,11,27.0,40.7,19,23.0,82.6,11,27,38,20,6,2,13,20,102,7.0,1,6975,2016-11-19,1
13878,Hawks,34,85.0,40.0,6,21.0,28.6,20,29.0,69.0,14,34,48,17,7,6,13,15,94,-10.0,0,6976,2016-11-20,0
13879,Knicks,42,88.0,47.7,10,27.0,37.0,10,14.0,71.4,11,39,50,21,8,1,15,23,104,10.0,1,6976,2016-11-20,1
13880,Trail Blazers,49,85.0,57.6,15,36.0,41.7,16,21.0,76.2,8,42,50,23,4,7,15,30,129,20.0,0,6977,2016-11-20,1
13881,Nets,37,93.0,39.8,10,35.0,28.6,25,31.0,80.6,11,25,36,22,5,3,9,20,109,-20.0,1,6977,2016-11-20,0
13882,Pacers,40,89.0,44.9,11,22.0,50.0,24,31.0,77.4,15,36,51,23,13,2,22,20,115,4.0,0,6978,2016-11-20,1
13883,Thunder,44,101.0,43.6,10,36.0,27.8,13,18.0,72.2,15,34,49,28,10,7,20,23,111,-4.0,1,6978,2016-11-20,0
13884,Raptors,34,85.0,40.0,9,24.0,37.5,22,24.0,91.7,16,32,48,16,7,6,15,21,99,-3.0,0,6979,2016-11-20,0
13885,Kings,36,81.0,44.4,11,27.0,40.7,19,25.0,76.0,4,33,37,26,8,8,13,18,102,3.0,1,6979,2016-11-20,1
13886,Jazz,33,85.0,38.8,7,27.0,25.9,18,23.0,78.3,14,35,49,15,3,6,10,22,91,-14.0,0,6980,2016-11-20,0
13887,Nuggets,42,86.0,48.8,8,22.0,36.4,13,30.0,43.3,12,37,49,31,4,3,8,19,105,14.0,1,6980,2016-11-20,1
13888,Bulls,45,87.0,51.7,8,22.0,36.4,20,28.0,71.4,16,40,56,27,6,3,16,16,118,8.0,0,6981,2016-11-20,1
13889,Lakers,41,93.0,44.1,13,31.0,41.9,15,21.0,71.4,10,27,37,26,11,3,10,19,110,-8.0,1,6981,2016-11-20,0
13890,Heat,34,88.0,38.6,7,31.0,22.6,19,28.0,67.9,21,29,50,17,7,6,13,22,94,-7.0,0,6982,2016-11-21,0
13891,76ers,37,78.0,47.4,11,26.0,42.3,16,20.0,80.0,7,33,40,21,8,5,14,25,101,7.0,1,6982,2016-11-21,1
13892,Suns,39,91.0,42.9,11,27.0,40.7,12,15.0,80.0,13,39,52,22,3,7,21,24,101,-5.0,0,6983,2016-11-21,0
13893,Wizards,37,91.0,40.7,10,28.0,35.7,22,34.0,64.7,14,31,45,25,8,4,11,19,106,5.0,1,6983,2016-11-21,1
13894,Grizzlies,40,84.0,47.6,12,26.0,46.2,13,17.0,76.5,6,34,40,24,7,8,10,24,105,15.0,0,6984,2016-11-21,1
13895,Hornets,30,73.0,41.1,9,31.0,29.0,21,33.0,63.6,8,31,39,20,6,9,10,13,90,-15.0,1,6984,2016-11-21,0
13896,Warriors,40,90.0,44.4,13,36.0,36.1,27,32.0,84.4,12,48,60,31,9,10,12,17,120,37.0,0,6985,2016-11-21,1
13897,Pacers,33,103.0,32.0,6,23.0,26.1,11,12.0,91.7,15,34,49,13,5,4,11,23,83,-37.0,1,6985,2016-11-21,0
13898,Rockets,35,78.0,44.9,10,31.0,32.3,19,27.0,70.4,12,34,46,22,4,6,15,20,99,3.0,0,6986,2016-11-21,1
13899,Pistons,36,87.0,41.4,7,17.0,41.2,17,24.0,70.8,12,27,39,19,7,3,14,20,96,-3.0,1,6986,2016-11-21,0
13900,Magic,32,77.0,41.6,7,25.0,28.0,18,24.0,75.0,10,44,54,21,8,5,24,18,89,-4.0,0,6987,2016-11-21,0
13901,Bucks,35,86.0,40.7,8,29.0,27.6,15,21.0,71.4,7,30,37,25,16,9,13,22,93,4.0,1,6987,2016-11-21,1
13902,Celtics,38,84.0,45.2,12,38.0,31.6,11,14.0,78.6,6,33,39,20,5,4,11,21,99,6.0,0,6988,2016-11-21,1
13903,Timberwolves,36,86.0,41.9,4,24.0,16.7,17,25.0,68.0,16,35,51,23,5,4,15,19,93,-6.0,1,6988,2016-11-21,0
13904,Mavericks,35,74.0,47.3,8,27.0,29.6,13,20.0,65.0,10,30,40,16,10,3,17,23,91,-5.0,0,6989,2016-11-21,0
13905,Spurs,35,75.0,46.7,8,20.0,40.0,18,25.0,72.0,8,31,39,24,9,1,13,18,96,5.0,1,6989,2016-11-21,1
13906,Raptors,40,80.0,50.0,8,19.0,42.1,27,32.0,84.4,4,28,32,19,10,2,11,31,115,-8.0,0,6990,2016-11-21,0
13907,Clippers,39,74.0,52.7,10,25.0,40.0,35,42.0,83.3,6,36,42,23,5,4,14,24,123,8.0,1,6990,2016-11-21,1
13908,Trail Blazers,38,86.0,44.2,6,22.0,27.3,21,26.0,80.8,11,33,44,18,5,5,16,13,103,-4.0,0,6991,2016-11-22,0
13909,Knicks,45,96.0,46.9,9,29.0,31.0,8,8.0,100.0,10,33,43,26,8,5,13,23,107,4.0,1,6991,2016-11-22,1
13910,Pelicans,45,86.0,52.3,11,25.0,44.0,11,12.0,91.7,5,35,40,29,11,9,9,16,112,18.0,0,6992,2016-11-22,1
13911,Hawks,39,85.0,45.9,10,29.0,34.5,6,10.0,60.0,6,34,40,22,5,6,15,15,94,-18.0,1,6992,2016-11-22,0
13912,Bulls,43,95.0,45.3,6,18.0,33.3,15,18.0,83.3,10,38,48,22,6,11,6,18,107,-3.0,0,6993,2016-11-22,0
13913,Nuggets,43,100.0,43.0,10,22.0,45.5,14,17.0,82.4,17,38,55,26,5,6,10,14,110,3.0,1,6993,2016-11-22,1
13914,Thunder,45,92.0,48.9,11,27.0,40.7,8,11.0,72.7,11,29,40,29,11,6,15,14,109,-2.0,0,6994,2016-11-22,0
13915,Lakers,42,83.0,50.6,14,27.0,51.9,13,16.0,81.3,6,29,35,25,8,7,17,17,111,2.0,1,6994,2016-11-22,1
13916,Grizzlies,38,99.0,38.4,10,29.0,34.5,18,24.0,75.0,9,37,46,24,13,9,15,28,104,5.0,0,6995,2016-11-23,1
13917,76ers,35,93.0,37.6,12,36.0,33.3,17,23.0,73.9,8,48,56,24,9,10,26,32,99,-5.0,1,6995,2016-11-23,0
13918,Spurs,44,86.0,51.2,13,31.0,41.9,18,20.0,90.0,8,26,34,28,9,8,9,18,119,5.0,0,6996,2016-11-23,1
13919,Hornets,45,89.0,50.6,11,20.0,55.0,13,18.0,72.2,12,32,44,30,3,3,15,16,114,-5.0,1,6996,2016-11-23,0
13920,Suns,33,73.0,45.2,9,22.0,40.9,17,22.0,77.3,6,38,44,15,6,7,17,20,92,5.0,0,6997,2016-11-23,1
13921,Magic,33,91.0,36.3,7,25.0,28.0,14,23.0,60.9,11,33,44,17,9,8,11,19,87,-5.0,1,6997,2016-11-23,0
13922,Trail Blazers,47,90.0,52.2,13,29.0,44.8,18,19.0,94.7,9,29,38,27,6,6,9,23,125,-12.0,0,6998,2016-11-23,0
13923,Cavaliers,48,90.0,53.3,21,36.0,58.3,20,27.0,74.1,9,32,41,30,6,3,10,15,137,12.0,1,6998,2016-11-23,1
13924,Hawks,36,85.0,42.4,5,20.0,25.0,19,22.0,86.4,17,39,56,17,11,7,21,18,96,11.0,0,6999,2016-11-23,1
13925,Pacers,34,84.0,40.5,7,27.0,25.9,10,14.0,71.4,7,30,37,16,15,5,18,20,85,-11.0,1,6999,2016-11-23,0
13926,Celtics,45,98.0,45.9,15,38.0,39.5,6,8.0,75.0,12,39,51,26,13,6,13,22,111,19.0,0,7000,2016-11-23,1
13927,Nets,34,86.0,39.5,10,31.0,32.3,14,22.0,63.6,9,36,45,18,7,7,19,12,92,-19.0,1,7000,2016-11-23,0
13928,Heat,27,75.0,36.0,7,26.0,26.9,23,30.0,76.7,7,30,37,19,5,4,14,22,84,-23.0,0,7001,2016-11-23,0
13929,Pistons,40,81.0,49.4,6,19.0,31.6,21,25.0,84.0,10,39,49,22,8,7,13,19,107,23.0,1,7001,2016-11-23,1
13930,Raptors,43,88.0,48.9,12,23.0,52.2,17,21.0,81.0,15,23,38,28,14,7,14,15,115,13.0,0,7002,2016-11-23,1
13931,Rockets,38,78.0,48.7,14,42.0,33.3,12,12.0,100.0,11,28,39,29,6,7,26,22,102,-13.0,1,7002,2016-11-23,0
13932,Clippers,43,85.0,50.6,15,32.0,46.9,23,31.0,74.2,6,37,43,26,11,4,9,17,124,20.0,0,7003,2016-11-23,1
13933,Mavericks,38,84.0,45.2,11,24.0,45.8,17,18.0,94.4,10,34,44,23,7,3,16,24,104,-20.0,1,7003,2016-11-23,0
13934,Nuggets,28,88.0,31.8,9,27.0,33.3,18,31.0,58.1,14,35,49,14,5,5,10,22,83,-25.0,0,7004,2016-11-23,0
13935,Jazz,39,79.0,49.4,8,26.0,30.8,22,31.0,71.0,4,47,51,19,4,3,14,25,108,25.0,1,7004,2016-11-23,1
13936,Timberwolves,33,86.0,38.4,3,17.0,17.6,27,33.0,81.8,8,33,41,23,12,3,17,19,96,-21.0,0,7005,2016-11-23,0
13937,Pelicans,45,83.0,54.2,9,24.0,37.5,18,23.0,78.3,4,41,45,27,10,6,17,21,117,21.0,1,7005,2016-11-23,1
13938,Lakers,40,93.0,43.0,8,20.0,40.0,18,22.0,81.8,7,30,37,22,5,1,11,25,106,-43.0,0,7006,2016-11-23,0
13939,Warriors,53,86.0,61.6,19,36.0,52.8,24,35.0,68.6,6,42,48,47,7,5,10,20,149,43.0,1,7006,2016-11-23,1
13940,Thunder,32,76.0,42.1,7,25.0,28.0,30,38.0,78.9,5,33,38,18,7,7,9,21,101,-15.0,0,7007,2016-11-23,0
13941,Kings,44,94.0,46.8,12,28.0,42.9,16,17.0,94.1,11,35,46,26,4,1,11,23,116,15.0,1,7007,2016-11-23,1
13942,Spurs,38,81.0,46.9,11,24.0,45.8,22,25.0,88.0,13,32,45,24,4,8,16,12,109,6.0,0,7008,2016-11-25,1
13943,Celtics,42,91.0,46.2,12,34.0,35.3,7,9.0,77.8,8,28,36,32,8,4,10,21,103,-6.0,1,7008,2016-11-25,0
13944,Wizards,40,88.0,45.5,6,29.0,20.7,8,10.0,80.0,7,30,37,26,10,4,11,17,94,3.0,0,7009,2016-11-25,1
13945,Magic,35,80.0,43.8,7,23.0,30.4,14,20.0,70.0,14,35,49,18,5,7,19,16,91,-3.0,1,7009,2016-11-25,0
13946,Mavericks,37,91.0,40.7,8,35.0,22.9,8,12.0,66.7,11,28,39,29,5,4,13,21,90,-38.0,0,7010,2016-11-25,0
13947,Cavaliers,43,85.0,50.6,20,43.0,46.5,22,24.0,91.7,9,38,47,30,9,3,14,16,128,38.0,1,7010,2016-11-25,1
13948,Hornets,43,93.0,46.2,8,29.0,27.6,17,27.0,63.0,10,36,46,25,6,4,13,14,111,-2.0,0,7011,2016-11-25,0
13949,Knicks,45,97.0,46.4,11,28.0,39.3,12,13.0,92.3,13,42,55,26,9,8,16,21,113,2.0,1,7011,2016-11-25,1
13950,Bulls,40,90.0,44.4,6,21.0,28.6,19,26.0,73.1,11,40,51,24,10,5,12,17,105,16.0,0,7012,2016-11-25,1
13951,76ers,31,78.0,39.7,9,22.0,40.9,18,22.0,81.8,8,40,48,18,7,8,19,21,89,-16.0,1,7012,2016-11-25,0
13952,Clippers,35,73.0,47.9,7,21.0,33.3,20,26.0,76.9,6,27,33,26,4,5,14,16,97,-11.0,0,7013,2016-11-25,0
13953,Pistons,47,90.0,52.2,9,19.0,47.4,5,7.0,71.4,9,33,42,26,7,0,10,22,108,11.0,1,7013,2016-11-25,1
13954,Hawks,26,83.0,31.3,8,25.0,32.0,8,12.0,66.7,6,34,40,11,8,4,14,16,68,-27.0,0,7014,2016-11-25,0
13955,Jazz,35,80.0,43.8,10,34.0,29.4,15,18.0,83.3,9,46,55,17,9,9,16,16,95,27.0,1,7014,2016-11-25,1
13956,Raptors,38,82.0,46.3,14,32.0,43.8,15,19.0,78.9,11,27,38,18,3,5,9,17,105,6.0,0,7015,2016-11-25,1
13957,Bucks,40,79.0,50.6,12,29.0,41.4,7,12.0,58.3,7,31,38,26,4,2,11,19,99,-6.0,1,7015,2016-11-25,0
13958,Heat,33,85.0,38.8,12,31.0,38.7,12,18.0,66.7,10,34,44,17,8,8,8,21,90,9.0,0,7016,2016-11-25,1
13959,Grizzlies,29,82.0,35.4,4,19.0,21.1,19,23.0,82.6,16,35,51,14,3,14,17,16,81,-9.0,1,7016,2016-11-25,0
13960,Nets,36,79.0,45.6,11,34.0,32.4,14,23.0,60.9,9,29,38,24,8,4,19,17,97,-21.0,0,7017,2016-11-25,0
13961,Pacers,48,87.0,55.2,11,26.0,42.3,11,16.0,68.8,9,38,47,25,11,5,14,19,118,21.0,1,7017,2016-11-25,1
13962,Thunder,48,96.0,50.0,13,26.0,50.0,23,29.0,79.3,7,33,40,29,11,4,12,21,132,3.0,0,7018,2016-11-25,1
13963,Nuggets,48,101.0,47.5,12,34.0,35.3,21,27.0,77.8,13,39,52,34,9,7,16,21,129,-3.0,1,7018,2016-11-25,0
13964,Timberwolves,34,85.0,40.0,7,22.0,31.8,23,25.0,92.0,11,28,39,16,15,8,17,27,98,13.0,0,7019,2016-11-25,1
13965,Suns,32,79.0,40.5,6,26.0,23.1,15,21.0,71.4,12,36,48,17,11,6,25,26,85,-13.0,1,7019,2016-11-25,0
13966,Pelicans,36,76.0,47.4,13,23.0,56.5,19,29.0,65.5,2,32,34,20,3,8,14,14,104,-15.0,0,7020,2016-11-25,0
13967,Trail Blazers,47,100.0,47.0,12,32.0,37.5,13,17.0,76.5,12,40,52,30,7,5,11,20,119,15.0,1,7020,2016-11-25,1
13968,Warriors,43,83.0,51.8,11,28.0,39.3,12,17.0,70.6,4,40,44,31,10,10,17,21,109,24.0,0,7021,2016-11-25,1
13969,Lakers,32,90.0,35.6,5,22.0,22.7,16,23.0,69.6,14,31,45,20,12,3,18,16,85,-24.0,1,7021,2016-11-25,0
13970,Rockets,40,85.0,47.1,21,50.0,42.0,16,20.0,80.0,8,34,42,27,8,2,14,19,117,13.0,0,7022,2016-11-25,1
13971,Kings,39,80.0,48.7,9,32.0,28.1,17,21.0,81.0,4,33,37,24,7,6,14,18,104,-13.0,1,7022,2016-11-25,0
13972,Spurs,40,75.0,53.3,9,24.0,37.5,23,29.0,79.3,6,32,38,22,7,6,14,17,112,12.0,0,7023,2016-11-26,1
13973,Wizards,42,88.0,47.7,6,22.0,27.3,10,14.0,71.4,12,28,40,21,11,1,12,26,100,-12.0,1,7023,2016-11-26,0
13974,Knicks,37,99.0,37.4,12,32.0,37.5,16,20.0,80.0,11,36,47,26,9,6,8,27,102,-5.0,0,7024,2016-11-26,0
13975,Hornets,35,80.0,43.8,8,22.0,36.4,29,42.0,69.0,10,42,52,16,3,9,10,14,107,5.0,1,7024,2016-11-26,1
13976,Pistons,37,82.0,45.1,1,19.0,5.3,13,17.0,76.5,6,26,32,11,7,1,8,20,88,-18.0,0,7025,2016-11-26,0
13977,Thunder,42,83.0,50.6,8,23.0,34.8,14,26.0,53.8,10,33,43,23,4,3,10,16,106,18.0,1,7025,2016-11-26,1
13978,Grizzlies,37,73.0,50.7,9,25.0,36.0,27,33.0,81.8,2,32,34,23,5,5,6,19,110,3.0,0,7026,2016-11-26,1
13979,Heat,40,81.0,49.4,11,31.0,35.5,16,24.0,66.7,8,31,39,18,3,6,9,21,107,-3.0,1,7026,2016-11-26,0
13980,Timberwolves,41,89.0,46.1,10,35.0,28.6,10,12.0,83.3,8,24,32,22,8,3,13,15,102,-13.0,0,7027,2016-11-26,0
13981,Warriors,45,81.0,55.6,11,22.0,50.0,14,17.0,82.4,12,33,45,25,9,8,18,14,115,13.0,1,7027,2016-11-26,1
13982,Cavaliers,38,92.0,41.3,12,40.0,30.0,24,28.0,85.7,14,32,46,19,5,3,9,14,112,4.0,0,7028,2016-11-27,1
13983,76ers,43,92.0,46.7,15,34.0,44.1,7,10.0,70.0,13,37,50,29,5,5,16,24,108,-4.0,1,7028,2016-11-27,0
13984,Nuggets,39,89.0,43.8,13,29.0,44.8,29,32.0,90.6,10,39,49,21,5,1,12,25,120,6.0,0,7029,2016-11-27,1
13985,Suns,36,89.0,40.4,11,25.0,44.0,31,36.0,86.1,9,37,46,11,5,7,11,24,114,-6.0,1,7029,2016-11-27,0
13986,Kings,46,86.0,53.5,13,23.0,56.5,17,22.0,77.3,9,36,45,24,11,3,13,12,122,17.0,0,7030,2016-11-27,1
13987,Nets,38,87.0,43.7,16,40.0,40.0,13,14.0,92.9,9,33,42,19,7,1,15,21,105,-17.0,1,7030,2016-11-27,0
13988,Bucks,41,86.0,47.7,8,24.0,33.3,14,20.0,70.0,10,43,53,24,6,6,11,16,104,8.0,0,7031,2016-11-27,1
13989,Magic,38,92.0,41.3,7,28.0,25.0,13,17.0,76.5,10,36,46,24,6,5,7,17,96,-8.0,1,7031,2016-11-27,0
13990,Clippers,22,70.0,31.4,4,24.0,16.7,22,27.0,81.5,6,34,40,11,9,4,20,13,70,-21.0,0,7032,2016-11-27,0
13991,Pacers,40,92.0,43.5,5,19.0,26.3,6,7.0,85.7,13,39,52,26,8,4,13,21,91,21.0,1,7032,2016-11-27,1
13992,Pelicans,30,77.0,39.0,5,20.0,25.0,16,18.0,88.9,10,32,42,17,8,3,13,19,81,-10.0,0,7033,2016-11-27,0
13993,Mavericks,32,77.0,41.6,10,27.0,37.0,17,20.0,85.0,11,35,46,19,7,3,12,18,91,10.0,1,7033,2016-11-27,1
13994,Rockets,46,82.0,56.1,17,36.0,47.2,21,28.0,75.0,7,29,36,26,7,8,11,23,130,16.0,0,7034,2016-11-27,1
13995,Trail Blazers,40,83.0,48.2,12,33.0,36.4,22,29.0,75.9,8,27,35,24,7,2,14,24,114,-16.0,1,7034,2016-11-27,0
13996,Hawks,39,88.0,44.3,12,35.0,34.3,4,10.0,40.0,7,31,38,25,5,6,12,19,94,-15.0,0,7035,2016-11-27,0
13997,Lakers,42,95.0,44.2,8,20.0,40.0,17,20.0,85.0,15,38,53,20,7,2,9,15,109,15.0,1,7035,2016-11-27,1
13998,Kings,38,93.0,40.9,3,21.0,14.3,16,26.0,61.5,13,31,44,20,15,4,20,24,95,-6.0,0,7036,2016-11-28,0
13999,Wizards,35,85.0,41.2,10,25.0,40.0,21,26.0,80.8,11,38,49,22,11,7,23,23,101,6.0,1,7036,2016-11-28,1
