,Player,Team,Number,Position,Height,Weight,Last Attended,Country
145,BrynForbes,SAS,7,G,6-2,205 lbs,Michigan State,USA
146,TrentForrest,UTA,3,G,6-4,210 lbs,Florida State,USA
147,EvanFournier,NYK,13,G-F,6-6,205 lbs,Poitiers Basket 86,France
148,De'AaronFox,SAC,5,G,6-3,185 lbs,Kentucky,USA
149,MarkelleFultz,ORL,20,G,6-4,209 lbs,Washington,USA
150,DanielGafford,WAS,21,F-C,6-9,234 lbs,Arkansas,USA
151,DaniloGallinari,ATL,8,F,6-10,236 lbs,Olimpia Milano,Italy
152,DariusGarland,CLE,10,G,6-1,192 lbs,Vanderbilt,USA
153,MarcusGarrett,MIA,0,G,6-5,205 lbs,Kansas,USA
154,UsmanGaruba,HOU,16,F,6-8,229 lbs,Real Madrid,Spain
155,LukaGarza,DET,55,C,6-10,243 lbs,Iowa,USA
156,RudyGay,UTA,8,F-G,6-8,250 lbs,Connecticut,USA
157,PaulGeorge,LAC,13,F,6-8,220 lbs,Fresno State,USA
158,TajGibson,NYK,67,F,6-9,232 lbs,Southern California,USA
159,JoshGiddey,OKC,3,G,6-8,205 lbs,NBA Global Academy,Australia
160,ShaiGilgeous-Alexander,OKC,2,G,6-6,180 lbs,Kentucky,Canada
161,AnthonyGill,WAS,16,F,6-7,230 lbs,Virginia,USA
162,RudyGobert,UTA,27,C,7-1,258 lbs,Cholet,France
163,AaronGordon,DEN,50,F,6-8,235 lbs,Arizona,USA
164,EricGordon,HOU,10,G,6-3,215 lbs,Indiana,USA
165,Devonte'Graham,NOP,4,G,6-1,195 lbs,Kansas,USA
166,JeramiGrant,DET,9,F,6-8,210 lbs,Syracuse,USA
167,DannyGreen,PHI,14,G,6-6,215 lbs,North Carolina,USA
168,DraymondGreen,GSW,23,F,6-6,230 lbs,Michigan State,USA
169,JaMychalGreen,DEN,0,F-C,6-8,227 lbs,Alabama,USA
170,JalenGreen,HOU,0,G,6-4,186 lbs,NBA G League Ignite,USA
171,JavonteGreen,CHI,24,G-F,6-5,205 lbs,Radford,USA
172,JeffGreen,DEN,32,F,6-8,235 lbs,Georgetown,USA
173,JoshGreen,DAL,8,G,6-5,200 lbs,Arizona,Australia
174,BlakeGriffin,BKN,2,F,6-9,250 lbs,Oklahoma,USA
175,QuentinGrimes,NYK,6,G,6-4,210 lbs,Houston,USA
176,RuiHachimura,WAS,8,F,6-8,230 lbs,Gonzaga,Japan
177,TyreseHaliburton,SAC,0,G,6-5,185 lbs,Iowa State,USA
178,R.J.Hampton,ORL,13,G,6-4,175 lbs,New Zealand Breakers,USA
179,TimHardaway Jr.,DAL,11,G-F,6-5,205 lbs,Michigan,USA
180,JamesHarden,BKN,13,G,6-5,220 lbs,Arizona State,USA
181,MauriceHarkless,SAC,8,F-G,6-7,220 lbs,St. John's,USA
182,MontrezlHarrell,WAS,6,F-C,6-7,240 lbs,Louisville,USA
183,GaryHarris,ORL,14,G,6-4,210 lbs,Michigan State,USA
184,JoeHarris,BKN,12,G-F,6-6,220 lbs,Virginia,USA
185,TobiasHarris,PHI,12,F,6-7,226 lbs,Tennessee,USA
186,JoshHart,NOP,3,G,6-5,215 lbs,Villanova,USA
187,IsaiahHartenstein,LAC,55,C-F,7-0,250 lbs,Zalgiris,Germany
188,UdonisHaslem,MIA,40,F,6-8,235 lbs,Florida,USA
189,SamHauser,BOS,30,F,6-7,217 lbs,Virginia,USA
190,JaxsonHayes,NOP,10,C-F,6-11,220 lbs,Texas-Austin,USA
191,KillianHayes,DET,7,G,6-5,195 lbs,Ratiopharm Ulm,France
192,GordonHayward,CHA,20,F,6-7,225 lbs,Butler,USA
193,AaronHenry,PHI,50,F,6-5,210 lbs,Michigan State,USA
194,JuanchoHernangomez,BOS,41,F,6-9,214 lbs,Estudiantes,Spain
195,WillyHernangomez,NOP,9,C-F,6-11,250 lbs,Cajasol Sevilla,Spain
196,TylerHerro,MIA,14,G,6-5,195 lbs,Kentucky,USA
197,BuddyHield,SAC,24,G,6-4,220 lbs,Oklahoma,Bahamas
198,GeorgeHill,MIL,3,G,6-4,188 lbs,Indiana-Purdue Indianapolis,USA
199,SolomonHill,ATL,18,F,6-6,226 lbs,Arizona,USA
200,AaronHoliday,WAS,4,G,6-0,185 lbs,UCLA,USA
201,JrueHoliday,MIL,21,G,6-3,205 lbs,UCLA,USA
202,JustinHoliday,IND,8,F-G,6-6,180 lbs,Washington,USA
203,RichaunHolmes,SAC,22,F,6-10,235 lbs,Bowling Green,USA
204,DaultonHommes,NOP,34,F,6-8,215 lbs,Point Loma,USA
205,RodneyHood,MIL,5,G-F,6-8,208 lbs,Duke,USA
206,AlHorford,BOS,42,C-F,6-9,240 lbs,Florida,Dominican Republic
207,TalenHorton-Tucker,LAL,5,G,6-4,234 lbs,Iowa State,USA
208,DanuelHouse Jr.,HOU,4,F-G,6-6,220 lbs,Texas A&M,USA
209,DwightHoward,LAL,39,C-F,6-10,265 lbs,SW Atlanta Christian Academy (GA),USA
210,MarkusHoward,DEN,00,G,5-10,175 lbs,Marquette,USA
211,KevinHuerter,ATL,3,G-F,6-7,198 lbs,Maryland,USA
212,JayHuff,LAL,34,C,7-1,240 lbs,Virginia,USA
213,ElijahHughes,UTA,33,G,6-5,215 lbs,Syracuse,USA
214,De'AndreHunter,ATL,12,F-G,6-8,221 lbs,Virginia,USA
215,ChandlerHutchison,PHX,35,F-G,6-6,210 lbs,Boise State,USA
216,BonesHyland,DEN,3,G,6-2,169 lbs,Virginia Commonwealth,USA
217,SergeIbaka,LAC,9,F,6-10,235 lbs,Ricoh Manresa,Republic of the Congo
218,AndreIguodala,GSW,9,G-F,6-6,215 lbs,Arizona,USA
219,JoeIngles,UTA,2,F-G,6-8,220 lbs,Maccabi Tel Aviv,Australia
220,BrandonIngram,NOP,14,F,6-8,190 lbs,Duke,USA
221,KyrieIrving,BKN,11,G,6-2,195 lbs,Duke,Australia
222,JonathanIsaac,ORL,1,F,6-10,230 lbs,Florida State,USA
223,FrankJackson,DET,5,G,6-3,205 lbs,Duke,USA
224,IsaiahJackson,IND,23,F,6-10,205 lbs,Kentucky,USA
225,JoshJackson,DET,20,G-F,6-8,207 lbs,Kansas,USA
226,ReggieJackson,LAC,1,G,6-2,208 lbs,Boston College,USA
227,JarenJackson Jr.,MEM,13,F-C,6-11,242 lbs,Michigan State,USA
