,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
224,Tristan Thompson,Cleveland Cavaliers,31:04,6,7,85.7,0,0,0.0,3,4,75.0,4,10,14,1,1,3,0,1,15,10,22
225,Kyrie Irving,Cleveland Cavaliers,34:01,9,18,50.0,3,8,37.5,2,3,66.7,0,4,4,6,0,0,3,3,23,2,22
226,Domantas Sabonis,Oklahoma City Thunder,26:54,6,12,50.0,1,1,100,0,0,0.0,1,5,6,3,1,1,2,2,13,-6,23
227,Steven Adams,Oklahoma City Thunder,23:48,5,7,71.4,0,0,0.0,1,2,50.0,3,1,4,1,2,2,1,3,11,7,23
228,Victor Oladipo,Oklahoma City Thunder,30:00,8,13,61.5,4,6,66.7,1,4,25.0,0,3,3,0,0,0,0,2,21,-25,23
229,Russell Westbrook,Oklahoma City Thunder,28:52,4,15,26.7,2,4,50.0,10,14,71.4,1,5,6,10,1,2,6,3,20,-9,23
230,Jerami Grant,Oklahoma City Thunder,25:19,3,9,33.3,0,0,0.0,0,2,0.0,1,3,4,0,0,0,0,2,6,-26,23
231,Enes Kanter,Oklahoma City Thunder,3:28,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-11,23
232,Kevin Durant,Golden State Warriors,31:08,15,24,62.5,7,11,63.6,2,3,66.7,1,6,7,1,0,1,2,3,39,21,23
233,Draymond Green,Golden State Warriors,29:10,2,9,22.2,0,2,0.0,5,6,83.3,4,6,10,5,1,4,4,3,9,9,23
234,Klay Thompson,Golden State Warriors,32:58,7,14,50.0,4,8,50.0,0,0,0.0,1,0,1,3,2,1,2,3,18,7,23
235,Stephen Curry,Golden State Warriors,30:03,6,14,42.9,2,6,33.3,7,8,87.5,0,1,1,7,2,1,1,1,21,17,23
236,Andre Iguodala,Golden State Warriors,24:40,1,5,20.0,0,1,0.0,1,2,50.0,0,3,3,2,0,1,1,1,3,34,23
237,Kevon Looney,Golden State Warriors,10:37,2,2,100,0,0,0.0,0,0,0.0,2,4,6,1,1,1,0,0,4,0,23
