,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
8028,Mike Conley,Memphis Grizzlies,33:24:00,6,16,37.5,4,6,66.7,4,4,100,2,3,5,9,3,0,2,0,20,-15,792
8029,Solomon Hill,New Orleans Pelicans,37:09:00,2,8,25,1,6,16.7,2,2,100,1,5,6,7,1,1,2,2,7,4,793
8030,Anthony Davis,New Orleans Pelicans,36:15:00,16,22,72.7,2,3,66.7,8,11,72.7,2,11,13,2,1,1,2,3,42,13,793
8031,Buddy Hield,New Orleans Pelicans,21:47,7,10,70,2,4,50,1,1,100,0,4,4,1,0,0,1,3,17,14,793
8032,Jrue Holiday,New Orleans Pelicans,37:59:00,10,14,71.4,1,2,50,4,4,100,2,4,6,12,5,0,9,3,25,15,793
8033,Andrew Wiggins,Minnesota Timberwolves,37:24:00,11,17,64.7,1,3,33.3,6,7,85.7,2,2,4,2,3,0,3,0,29,-2,793
8034,Gorgui Dieng,Minnesota Timberwolves,33:45:00,3,8,37.5,1,1,100,1,2,50,3,5,8,1,3,0,1,4,8,-14,793
8035,Karl-Anthony Towns,Minnesota Timberwolves,37:33:00,13,22,59.1,1,5,20,9,9,100,4,4,8,1,0,0,4,5,36,-6,793
8036,Ricky Rubio,Minnesota Timberwolves,39:18:00,5,10,50,1,3,33.3,4,6,66.7,0,1,1,12,4,0,4,2,15,-14,793
8037,Nemanja Bjelica,Minnesota Timberwolves,12:07,0,2,0,0,2,0,0,0,0,1,2,3,1,0,0,1,2,0,0,793
8038,Tyus Jones,Minnesota Timberwolves,9:30,0,2,0,0,2,0,1,2,50,0,0,0,2,0,0,0,0,1,-5,793
8039,Paul George,Indiana Pacers,35:36:00,12,23,52.2,2,6,33.3,5,7,71.4,1,3,4,2,0,1,1,2,31,-18,794
8040,Myles Turner,Indiana Pacers,30:44:00,4,9,44.4,0,1,0,2,2,100,2,5,7,3,0,1,3,3,10,-19,794
8041,Markieff Morris,Washington Wizards,31:08:00,11,18,61.1,3,6,50,1,2,50,2,8,10,3,1,0,0,1,26,16,794
8042,Bradley Beal,Washington Wizards,35:09:00,6,15,40,3,10,30,5,8,62.5,1,2,3,4,1,0,2,1,20,14,794
8043,John Wall,Washington Wizards,36:37:00,7,16,43.8,2,5,40,10,15,66.7,0,3,3,14,2,0,7,4,26,21,794
8044,Trey Burke,Washington Wizards,13:47,3,9,33.3,1,2,50,0,0,0,0,0,0,5,1,0,0,0,7,-14,794
8045,Tomas Satoransky,Washington Wizards,13:22,1,2,50,0,0,0,2,2,100,1,0,1,1,1,1,0,0,4,-6,794
8046,Paul Millsap,Atlanta Hawks,38:05:00,7,13,53.8,2,6,33.3,9,11,81.8,2,4,6,3,2,0,2,2,25,6,795
8047,Dwight Howard,Atlanta Hawks,31:46:00,3,5,60,0,0,0,0,0,0,1,10,11,1,1,1,2,6,6,10,795
8048,Kent Bazemore,Atlanta Hawks,32:41:00,5,11,45.5,1,4,25,1,2,50,0,6,6,2,1,3,1,1,12,1,795
8049,Dennis Schroder,Atlanta Hawks,33:18:00,6,12,50,2,4,50,6,7,85.7,0,2,2,5,1,0,6,1,20,3,795
8050,DeAndre' Bembry,Atlanta Hawks,18:36,0,2,0,0,2,0,0,0,0,0,1,1,2,1,1,2,0,0,-14,795
8051,Mike Muscala,Atlanta Hawks,10:31,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,-9,795
8052,Ben McLemore,Sacramento Kings,42:16:00,8,17,47.1,6,10,60,0,0,0,3,6,9,3,4,0,2,3,22,2,795
8053,Willie Cauley-Stein,Sacramento Kings,16:24,4,6,66.7,0,0,0,1,2,50,0,4,4,3,0,0,0,3,9,9,795
8054,Jimmy Butler,Chicago Bulls,30:20:00,6,16,37.5,0,3,0,8,9,88.9,2,1,3,6,2,0,2,3,20,-4,796
8055,Taj Gibson,Chicago Bulls,26:00:00,5,10,50,0,0,0,0,0,0,1,5,6,0,0,0,2,1,10,-11,796
8056,Robin Lopez,Chicago Bulls,23:21,5,9,55.6,0,0,0,2,2,100,5,2,7,0,0,0,1,3,12,2,796
8057,Doug McDermott,Chicago Bulls,20:24,4,6,66.7,1,3,33.3,2,2,100,0,1,1,0,0,0,0,1,11,-10,796
8058,Rajon Rondo,Chicago Bulls,22:43,1,4,25,1,2,50,0,0,0,1,2,3,3,0,0,2,2,3,-17,796
8059,Michael Carter-Williams,Chicago Bulls,8:09,2,3,66.7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,-16,796
8060,Denzel Valentine,Chicago Bulls,15:24,2,4,50,0,2,0,0,2,0,0,2,2,0,1,0,2,1,4,-1,796
8061,Bobby Portis,Chicago Bulls,4:20,1,3,33.3,0,0,0,2,2,100,1,0,1,1,1,0,0,0,4,-1,796
8062,T.J. Warren,Phoenix Suns,37:19:00,8,17,47.1,0,1,0,0,0,0,1,4,5,0,0,2,0,4,16,14,796
8063,Devin Booker,Phoenix Suns,32:59:00,10,19,52.6,2,4,50,5,6,83.3,3,2,5,4,0,0,1,1,27,19,796
8064,Eric Bledsoe,Phoenix Suns,32:36:00,9,19,47.4,1,3,33.3,4,5,80,0,3,3,8,0,1,4,0,23,11,796
8065,P.J. Tucker,Phoenix Suns,33:33:00,2,5,40,1,3,33.3,2,2,100,1,6,7,2,3,0,1,2,7,23,796
8066,Blake Griffin,LA Clippers,34:33:00,8,19,42.1,0,2,0,4,5,80,4,8,12,8,0,1,1,3,20,5,797
8067,DeAndre Jordan,LA Clippers,28:10:00,2,5,40,0,0,0,0,0,0,3,13,16,1,0,1,5,3,4,-7,797
8068,Austin Rivers,LA Clippers,38:17:00,7,12,58.3,4,6,66.7,0,2,0,0,3,3,5,0,0,5,3,18,-2,797
8069,Frank Kaminsky,Charlotte Hornets,36:01:00,7,16,43.8,3,6,50,3,4,75,1,7,8,5,1,2,0,3,20,12,797
8070,Nicolas Batum,Charlotte Hornets,36:39:00,7,13,53.8,4,7,57.1,7,8,87.5,1,5,6,8,0,1,2,2,25,4,797
8071,Kemba Walker,Charlotte Hornets,41:55:00,4,17,23.5,1,9,11.1,1,2,50,1,3,4,4,2,1,2,2,10,4,797
8072,Jeremy Lamb,Charlotte Hornets,15:34,4,9,44.4,2,4,50,3,5,60,1,0,1,3,0,0,0,1,13,-14,797
8073,Giannis Antetokounmpo,Milwaukee Bucks,34:21:00,4,9,44.4,0,1,0,12,14,85.7,2,6,8,10,1,2,2,5,20,12,798
8074,Tony Snell,Milwaukee Bucks,21:24,4,5,80,4,5,80,1,2,50,1,4,5,1,1,1,0,0,13,7,798
8075,Malcolm Brogdon,Milwaukee Bucks,36:10:00,5,14,35.7,2,6,33.3,5,6,83.3,0,3,3,3,0,0,0,2,17,24,798
8076,Paul George,Indiana Pacers,37:32:00,4,11,36.4,2,3,66.7,3,3,100,1,7,8,3,0,0,5,6,13,-6,798
8077,Myles Turner,Indiana Pacers,31:01:00,4,12,33.3,0,3,0,10,11,90.9,1,3,4,6,0,1,2,4,18,-7,798
8078,Rodney McGruder,Miami Heat,26:25:00,2,6,33.3,0,1,0,0,0,0,2,2,4,1,0,0,2,4,4,-14,799
8079,Hassan Whiteside,Miami Heat,33:31:00,5,11,45.5,0,0,0,2,2,100,2,17,19,0,0,1,1,3,12,-12,799
8080,Wayne Ellington,Miami Heat,35:45:00,4,14,28.6,3,10,30,5,5,100,3,2,5,2,1,0,4,1,16,-6,799
8081,Goran Dragic,Miami Heat,36:32:00,12,21,57.1,2,4,50,4,4,100,0,5,5,2,2,0,7,3,30,-4,799
8082,James Johnson,Miami Heat,36:08:00,8,15,53.3,1,4,25,9,13,69.2,1,3,4,3,0,2,4,4,26,10,799
8083,Robert Covington,Philadelphia 76ers,31:07:00,6,12,50,5,6,83.3,2,2,100,0,7,7,0,4,2,2,4,19,11,799
8084,Nerlens Noel,Philadelphia 76ers,31:40:00,9,12,75,0,1,0,1,3,33.3,3,0,3,1,4,1,1,4,19,17,799
8085,T.J. McConnell,Philadelphia 76ers,32:04:00,3,7,42.9,0,0,0,5,6,83.3,1,3,4,10,2,0,1,0,11,13,799
8086,Dario Saric,Philadelphia 76ers,26:02:00,7,15,46.7,1,5,20,4,4,100,2,4,6,4,2,1,1,2,19,5,799
8087,Timothe Luwawu-Cabarrot,Philadelphia 76ers,5:00,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0,-8,799
8088,Richaun Holmes,Philadelphia 76ers,16:20,2,2,100,0,0,0,2,3,66.7,4,0,4,1,0,1,1,4,6,-9,799
8089,Nikola Jokic,Denver Nuggets,37:39:00,9,18,50,1,2,50,8,10,80,6,7,13,4,0,2,5,2,27,-10,800
8090,Gary Harris,Denver Nuggets,29:16:00,6,11,54.5,3,5,60,1,2,50,0,3,3,0,1,1,1,0,16,-12,800
8091,Will Barton,Denver Nuggets,22:33,3,11,27.3,2,4,50,4,4,100,1,2,3,4,1,0,1,2,12,1,800
8092,Juancho Hernangomez,Denver Nuggets,16:47,1,6,16.7,0,1,0,2,2,100,3,2,5,0,2,0,0,5,4,-2,800
8093,Jamal Murray,Denver Nuggets,17:20,5,11,45.5,3,7,42.9,3,3,100,0,0,0,1,1,0,0,3,16,-6,800
8094,Malik Beasley,Denver Nuggets,2:37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,800
8095,LeBron James,Cleveland Cavaliers,33:09:00,11,16,68.8,1,1,100,4,4,100,0,5,5,12,2,0,6,1,27,26,800
8096,Kevin Love,Cleveland Cavaliers,33:48:00,5,11,45.5,3,5,60,3,4,75,3,6,9,5,0,0,2,0,16,10,800
