,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID,Date
0,Carmelo Anthony,New York Knicks,30:05,8,18,44.4,1,4,25.0,2,2,100,1,4,5,3,1,0,4,5,19,-19,0,2016-10-25
1,Kristaps Porzingis,New York Knicks,32:48,5,13,38.5,3,5,60.0,3,6,50.0,4,3,7,0,1,2,2,5,16,-21,0,2016-10-25
2,Derrick Rose,New York Knicks,29:35,7,17,41.2,1,2,50.0,2,2,100,2,1,3,1,0,1,4,1,17,-19,0,2016-10-25
3,Justin Holiday,New York Knicks,26:27,2,7,28.6,2,3,66.7,2,2,100,1,5,6,2,1,0,0,0,8,-14,0,2016-10-25
4,Willy Hernangomez,New York Knicks,9:26,2,3,66.7,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,4,-3,0,2016-10-25
5,LeBron James,Cleveland Cavaliers,32:23,9,14,64.3,0,3,0.0,1,2,50.0,3,8,11,14,0,1,4,3,19,26,0,2016-10-25
6,Kevin Love,Cleveland Cavaliers,24:59,6,15,40.0,2,6,33.3,9,12,75.0,2,10,12,2,3,0,2,3,23,24,0,2016-10-25
7,Tristan Thompson,Cleveland Cavaliers,22:25,0,1,0.0,0,0,0.0,0,0,0.0,2,4,6,0,0,0,2,4,0,17,0,2016-10-25
8,Kyrie Irving,Cleveland Cavaliers,29:48,12,22,54.5,4,7,57.1,1,1,100,1,1,2,4,2,0,0,1,29,13,0,2016-10-25
9,Rudy Gobert,Utah Jazz,40:57,4,7,57.1,0,0,0.0,4,4,100,4,10,14,2,0,2,3,3,12,7,1,2016-10-25
10,Rodney Hood,Utah Jazz,37:39,9,17,52.9,3,7,42.9,5,5,100,0,2,2,1,2,1,0,3,26,5,1,2016-10-25
11,George Hill,Utah Jazz,38:45,7,18,38.9,1,6,16.7,4,4,100,0,2,2,6,2,1,1,2,19,2,1,2016-10-25
12,Joe Ingles,Utah Jazz,14:06,1,1,100,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,2,2,-9,1,2016-10-25
13,Trey Lyles,Utah Jazz,17:55,2,6,33.3,1,2,50.0,0,0,0.0,0,2,2,2,0,0,3,0,5,-11,1,2016-10-25
14,Maurice Harkless,Portland Trail Blazers,22:21,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,2,0,2,1,0,-13,1,2016-10-25
15,Mason Plumlee,Portland Trail Blazers,14:34,1,4,25.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,4,2,-7,1,2016-10-25
16,CJ McCollum,Portland Trail Blazers,34:36,8,16,50.0,2,2,100,7,7,100,1,1,2,3,1,0,3,3,25,12,1,2016-10-25
17,Damian Lillard,Portland Trail Blazers,35:25,13,20,65.0,4,6,66.7,9,9,100,1,8,9,6,0,0,4,3,39,1,1,2016-10-25
18,Ed Davis,Portland Trail Blazers,24:07,2,3,66.7,0,0,0.0,2,2,100,3,4,7,1,0,1,0,2,6,21,1,2016-10-25
19,Kawhi Leonard,San Antonio Spurs,32:03,10,21,47.6,0,3,0.0,15,15,100,3,2,5,3,5,0,2,1,35,14,2,2016-10-25
20,LaMarcus Aldridge,San Antonio Spurs,35:11,10,20,50.0,1,1,100,5,6,83.3,8,6,14,3,1,0,2,1,26,10,2,2016-10-25
21,Kyle Anderson,San Antonio Spurs,22:24,1,1,100,1,1,100,0,0,0.0,2,2,4,0,1,0,0,1,3,-4,2,2016-10-25
22,Patty Mills,San Antonio Spurs,17:51,4,9,44.4,3,5,60.0,0,0,0.0,0,1,1,5,4,0,0,1,11,35,2,2016-10-25
23,Dewayne Dedmon,San Antonio Spurs,16:34,1,4,25.0,0,0,0.0,0,0,0.0,4,4,8,0,1,2,1,3,2,29,2,2016-10-25
24,Bryn Forbes,San Antonio Spurs,3:41,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6,2,2016-10-25
25,Davis Bertans,San Antonio Spurs,3:41,2,2,100,1,1,100,0,0,0.0,0,1,1,0,0,0,0,0,5,6,2,2016-10-25
26,Kevin Durant,Golden State Warriors,36:36,11,18,61.1,1,3,33.3,4,5,80.0,0,10,10,4,2,2,0,2,27,-13,2,2016-10-25
27,Draymond Green,Golden State Warriors,32:37,7,14,50.0,2,5,40.0,2,2,100,5,7,12,6,5,1,2,2,18,-5,2,2016-10-25
28,Klay Thompson,Golden State Warriors,33:21,5,13,38.5,1,6,16.7,0,0,0.0,0,1,1,2,0,0,1,4,11,-6,2,2016-10-25
